Name: “Table 1 of 1 on page 6 of 9”,Name: “Table 1 of 1 on page 6 of 9”,Name: “Table 1 of 1 on page 6 of 9”,Name: “Table 1 of 1 on page 6 of 9”,Name: “Table 1 of 1 on page 6 of 9”,Name: “Table 1 of 1 on page 6 of 9”,Name: “Table 1 of 1 on page 6 of 9”,Name: “Table 1 of 1 on page 6 of 9”,Name: “Table 1 of 1 on page 6 of 9”,Name: “Table 1 of 1 on page 6 of 9”,Name: “Table 1 of 1 on page 6 of 9”,Name: “Table 1 of 1 on page 6 of 9”,Name: “Table 1 of 1 on page 6 of 9”,Name: “Table 1 of 1 on page 6 of 9”,Name: “Table 1 of 1 on page 6 of 9”,Name: “Table 1 of 1 on page 6 of 9”
Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6
,,,,,,,,,,,,,,,
,,,,,CAPITAL BUDGET,CAPITAL BUDGET,CAPITAL BUDGET,CAPITAL BUDGET,CAPITAL BUDGET,CAPITAL BUDGET,,,,,
Revenue Sources,Revenue Sources,Revenue Sources,,,,,,,,,,,,,Amount
General Fund Balance Transfer (GFB),General Fund Balance Transfer (GFB),General Fund Balance Transfer (GFB),General Fund Balance Transfer (GFB),General Fund Balance Transfer (GFB),General Fund Balance Transfer (GFB),,,,,,,,,,"$3,999,000"
General Fund Operating Revenues (GFR),General Fund Operating Revenues (GFR),General Fund Operating Revenues (GFR),General Fund Operating Revenues (GFR),General Fund Operating Revenues (GFR),General Fund Operating Revenues (GFR),General Fund Operating Revenues (GFR),,,,,,,,,"3,032,265"
Urban Maintenance Contribution (GF-UMC),Urban Maintenance Contribution (GF-UMC),Urban Maintenance Contribution (GF-UMC),Urban Maintenance Contribution (GF-UMC),Urban Maintenance Contribution (GF-UMC),Urban Maintenance Contribution (GF-UMC),Urban Maintenance Contribution (GF-UMC),Urban Maintenance Contribution (GF-UMC),,,,,,,,"4,525,502"
,,,,,,,,Subtotal - General Fund Revenues,Subtotal - General Fund Revenues,Subtotal - General Fund Revenues,Subtotal - General Fund Revenues,Subtotal - General Fund Revenues,Subtotal - General Fund Revenues,Subtotal - General Fund Revenues,"11,556,767"
Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,,,,,,,,"4,104,867"
Federal Emergency Management Agency/Pre-Mitigation Flooding (FEMA/PMF),Federal Emergency Management Agency/Pre-Mitigation Flooding (FEMA/PMF),Federal Emergency Management Agency/Pre-Mitigation Flooding (FEMA/PMF),Federal Emergency Management Agency/Pre-Mitigation Flooding (FEMA/PMF),Federal Emergency Management Agency/Pre-Mitigation Flooding (FEMA/PMF),Federal Emergency Management Agency/Pre-Mitigation Flooding (FEMA/PMF),Federal Emergency Management Agency/Pre-Mitigation Flooding (FEMA/PMF),Federal Emergency Management Agency/Pre-Mitigation Flooding (FEMA/PMF),Federal Emergency Management Agency/Pre-Mitigation Flooding (FEMA/PMF),Federal Emergency Management Agency/Pre-Mitigation Flooding (FEMA/PMF),Federal Emergency Management Agency/Pre-Mitigation Flooding (FEMA/PMF),Federal Emergency Management Agency/Pre-Mitigation Flooding (FEMA/PMF),Federal Emergency Management Agency/Pre-Mitigation Flooding (FEMA/PMF),,,"250,000"
General Obligation Bond Proceeds (BP),General Obligation Bond Proceeds (BP),General Obligation Bond Proceeds (BP),General Obligation Bond Proceeds (BP),General Obligation Bond Proceeds (BP),General Obligation Bond Proceeds (BP),General Obligation Bond Proceeds (BP),,,,,,,,,"500,000"
General Obligation Bond Proceeds ~ Schools (BP-S),General Obligation Bond Proceeds ~ Schools (BP-S),General Obligation Bond Proceeds ~ Schools (BP-S),General Obligation Bond Proceeds ~ Schools (BP-S),General Obligation Bond Proceeds ~ Schools (BP-S),General Obligation Bond Proceeds ~ Schools (BP-S),General Obligation Bond Proceeds ~ Schools (BP-S),General Obligation Bond Proceeds ~ Schools (BP-S),,,,,,,,"5,287,500"
Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,,,,,,,,"560,000"
Regional Surface Transportation Program (RSTP),Regional Surface Transportation Program (RSTP),Regional Surface Transportation Program (RSTP),Regional Surface Transportation Program (RSTP),Regional Surface Transportation Program (RSTP),Regional Surface Transportation Program (RSTP),Regional Surface Transportation Program (RSTP),Regional Surface Transportation Program (RSTP),,,,,,,,"4,800,000"
Stormwater Fees (SWF),Stormwater Fees (SWF),Stormwater Fees (SWF),Stormwater Fees (SWF),,,,,,,,,,,,"585,000"
,,,,,,,,,,Subtotal - Other Revenues,Subtotal - Other Revenues,Subtotal - Other Revenues,Subtotal - Other Revenues,Subtotal - Other Revenues,"16,087,367"
,,,,,,,,,,,,,Total,Total,"$27,644,134"
Project Descriptions by Category,Project Descriptions by Category,Project Descriptions by Category,Project Descriptions by Category,Project Descriptions by Category,,,,,,,,,,,Amount
,,,,,,Education,Education,,,,,,,,
Hampton City Schools Maintenance Projects (BP-S),Hampton City Schools Maintenance Projects (BP-S),Hampton City Schools Maintenance Projects (BP-S),Hampton City Schools Maintenance Projects (BP-S),Hampton City Schools Maintenance Projects (BP-S),Hampton City Schools Maintenance Projects (BP-S),Hampton City Schools Maintenance Projects (BP-S),Hampton City Schools Maintenance Projects (BP-S),,,,,,,,"$5,287,500"
