Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”
Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11
,,,,,
,City of Portsmouth,City of Portsmouth,,,
Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
General Government,General Government,General Government,,,
,City Attorney,City Attorney,,,
Business Unit Mission Statement,,,,,
"The Mission of the City Attorney's Office is to provide the highest quality legal advice and representation to City Council, the City","The Mission of the City Attorney's Office is to provide the highest quality legal advice and representation to City Council, the City","The Mission of the City Attorney's Office is to provide the highest quality legal advice and representation to City Council, the City","The Mission of the City Attorney's Office is to provide the highest quality legal advice and representation to City Council, the City","The Mission of the City Attorney's Office is to provide the highest quality legal advice and representation to City Council, the City",
"Manager, and all City departments, boards and commissions, and agencies. The City Attorney's Office will work to facilitate","Manager, and all City departments, boards and commissions, and agencies. The City Attorney's Office will work to facilitate","Manager, and all City departments, boards and commissions, and agencies. The City Attorney's Office will work to facilitate","Manager, and all City departments, boards and commissions, and agencies. The City Attorney's Office will work to facilitate","Manager, and all City departments, boards and commissions, and agencies. The City Attorney's Office will work to facilitate",
"achievement of City Council's Vision Statement and all other City goals through the development and use of efficient, effective,","achievement of City Council's Vision Statement and all other City goals through the development and use of efficient, effective,","achievement of City Council's Vision Statement and all other City goals through the development and use of efficient, effective,","achievement of City Council's Vision Statement and all other City goals through the development and use of efficient, effective,","achievement of City Council's Vision Statement and all other City goals through the development and use of efficient, effective,",
and creative legal strategies.,,,,,
Description of Services Provided,,,,,
"* The City Attorney's Office advises the City Council on all legal matters, drafts Council ordinances and resolutions, and serves","* The City Attorney's Office advises the City Council on all legal matters, drafts Council ordinances and resolutions, and serves","* The City Attorney's Office advises the City Council on all legal matters, drafts Council ordinances and resolutions, and serves","* The City Attorney's Office advises the City Council on all legal matters, drafts Council ordinances and resolutions, and serves","* The City Attorney's Office advises the City Council on all legal matters, drafts Council ordinances and resolutions, and serves",
as the legal advisor to City staff and to City Boards and Commissions.,as the legal advisor to City staff and to City Boards and Commissions.,,,,
"* The Office asserts and defends the City's interests in civil litigation and enforcement of the City Code, collects City debts,","* The Office asserts and defends the City's interests in civil litigation and enforcement of the City Code, collects City debts,","* The Office asserts and defends the City's interests in civil litigation and enforcement of the City Code, collects City debts,","* The Office asserts and defends the City's interests in civil litigation and enforcement of the City Code, collects City debts,","* The Office asserts and defends the City's interests in civil litigation and enforcement of the City Code, collects City debts,",
"assists in responding to Freedom of Information Act requests, drafts and reviews contracts, and prepares deeds and other legal","assists in responding to Freedom of Information Act requests, drafts and reviews contracts, and prepares deeds and other legal","assists in responding to Freedom of Information Act requests, drafts and reviews contracts, and prepares deeds and other legal","assists in responding to Freedom of Information Act requests, drafts and reviews contracts, and prepares deeds and other legal","assists in responding to Freedom of Information Act requests, drafts and reviews contracts, and prepares deeds and other legal",
documents necessary to the conduct of public business.,,,,,
,,FY 2012,FY 2013,FY 2013,FY 2014
Expenditure Categories,,Actual,Adopted,Amended,Adopted
Salaries,,"901,423","858,592","858,592","939,437"
Allowances,,"10,320","24,944","24,944","19,320"
Benefits,,"260,994","261,780","261,780","273,587"
Other Operating Expenses,,"792,006","203,115","203,115","203,115"
Internal Service Charges,,"38,251","27,408","27,408","35,430"
,Net Budget,"2,002,994","1,375,839","1,375,839","1,470,889"
,Total Budget,"2,002,994","1,375,839","1,375,839","1,470,889"
,,FY 2012,FY 2013,FY 2013,FY 2014
Funding Sources,,Actual,Adopted,Amended,Adopted
100 General Fund,,"2,002,994","1,375,839","1,375,839","1,470,889"
,Total Funding,"2,002,994","1,375,839","1,375,839","1,470,889"
Strategic Goals,,,,,
* Provide legal advice and counsel to City officers and employees,* Provide legal advice and counsel to City officers and employees,,,,
Outcomes and Accomplishments,,,,,
* Successfully defended the City in a number of legal issues.,,,,,
Major Budget Variances,,,,,
The trend most impacting the City Attorney's Office is the difficulty in providing sufficient legal services on a day-to-day basis in,The trend most impacting the City Attorney's Office is the difficulty in providing sufficient legal services on a day-to-day basis in,The trend most impacting the City Attorney's Office is the difficulty in providing sufficient legal services on a day-to-day basis in,The trend most impacting the City Attorney's Office is the difficulty in providing sufficient legal services on a day-to-day basis in,The trend most impacting the City Attorney's Office is the difficulty in providing sufficient legal services on a day-to-day basis in,
"light of required budget reductions. This need, together with the continuing emphasis on environmental codes enforcement and","light of required budget reductions. This need, together with the continuing emphasis on environmental codes enforcement and","light of required budget reductions. This need, together with the continuing emphasis on environmental codes enforcement and","light of required budget reductions. This need, together with the continuing emphasis on environmental codes enforcement and","light of required budget reductions. This need, together with the continuing emphasis on environmental codes enforcement and",
"the defense needs generated by general liability claims, particularly employment law and claims against police officers, will","the defense needs generated by general liability claims, particularly employment law and claims against police officers, will","the defense needs generated by general liability claims, particularly employment law and claims against police officers, will","the defense needs generated by general liability claims, particularly employment law and claims against police officers, will","the defense needs generated by general liability claims, particularly employment law and claims against police officers, will",
continue to require the retention of outside legal counsel.,,,,,
Fiscal Year 2014,5 - 11,,,,General Government
