Name: “Table 1 of 1 on page 8 of 75”,Name: “Table 1 of 1 on page 8 of 75”,Name: “Table 1 of 1 on page 8 of 75”,Name: “Table 1 of 1 on page 8 of 75”,Name: “Table 1 of 1 on page 8 of 75”
Table: 8,Table: 8,Table: 8,Table: 8,Table: 8
,,,,
,Revenue 2006 - 2007,Revenue 2006 - 2007,Revenue 2006 - 2007,Revenue 2006 - 2007
,,,Federal,Federal
,,,3%,3%
,,,DLocal,DLocal
,,,•,other
,,,•,State
,,,•,Federal
•,Local,$,"7,880,000","7,880,000"
•,Other,$,"309,122","309,122"
•,State,"$12,291,798","$12,291,798","$12,291,798"
•,Federal,$,"736,814","736,814"
•,Total,"$21,217,734","$21,217,734","$21,217,734"
