Name: “Table 1 of 1 on page 40 of 75”,Name: “Table 1 of 1 on page 40 of 75”,Name: “Table 1 of 1 on page 40 of 75”,Name: “Table 1 of 1 on page 40 of 75”,Name: “Table 1 of 1 on page 40 of 75”,Name: “Table 1 of 1 on page 40 of 75”,Name: “Table 1 of 1 on page 40 of 75”,Name: “Table 1 of 1 on page 40 of 75”,Name: “Table 1 of 1 on page 40 of 75”,Name: “Table 1 of 1 on page 40 of 75”,Name: “Table 1 of 1 on page 40 of 75”,Name: “Table 1 of 1 on page 40 of 75”,Name: “Table 1 of 1 on page 40 of 75”,Name: “Table 1 of 1 on page 40 of 75”
Table: 40,Table: 40,Table: 40,Table: 40,Table: 40,Table: 40,Table: 40,Table: 40,Table: 40,Table: 40,Table: 40,Table: 40,Table: 40,Table: 40
,,,,,,,,,,,,,
,,,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,,
,,,,,,2006 - 2007 BUDGET,2006 - 2007 BUDGET,,,,,,
MIDDLE SCHOOL,•,MEDIA,1.0.31 .1.61320 ...,,,,,,,,,PAGE 27,PAGE 27
CODE,BUDGET FUNCTION,BUDGET FUNCTION,BUDGET FUNCTION,,2004/2005,,2005/2006,,2006/2007,,+INCREASE,,
,,,,,ACTUAL,,APPROPRIATED,,PROJECTED,,(·D ECREASE),%,
1120,INSTRUCTIONAL SALARIES,INSTRUCTIONAL SALARIES,INSTRUCTIONAL SALARIES,$,"53,821",$,"59,698",$,"62,545",$,"2,847",,4.8%
1150,AIDES SALARY,AIDES SALARY,,$,"14,810",$,"16,606",$,"18,565",$,"1,959",11.8%,11.8%
2100,FICA BENEFITS,FICA BENEFITS,,$,"5,236",$,"5,837",$,"6,205",$,368,,6.3%
2210,VRS BENEFITS,VRS BENEFITS,,$,"8,073",$,"9,294",$,"11,972",$,"2,678",28.8%,28.8%
2300,HEALTH BENEFITS,HEALTH BENEFITS,,$,"2,087",$,"8,424",$,"6,970",$,"(1,454)",-17.3%,-17.3%
2400,GLI BENEFITS,GLI BENEFITS,,$,,$,,$,397,$,397,100.0%,100.0%
6000,MATERIALS/SUPPLIES,MATERIALS/SUPPLIES,MATERIALS/SUPPLIES,$,"4,718",$,"5,405",$,"5,405",$,,,0.0%
8200,EQUIPMENT ADDITIONS,EQUIPMENT ADDITIONS,EQUIPMENT ADDITIONS,$,438,$,,$,,$,,,0.0%
,,TOTAL,TOTAL,$,"89,183",$,"105,264",$,"112,059",$,"6,795",,6.5%
Budget Expenditure 2006-2007 final 7-15-06 .xis,Budget Expenditure 2006-2007 final 7-15-06 .xis,Budget Expenditure 2006-2007 final 7-15-06 .xis,Budget Expenditure 2006-2007 final 7-15-06 .xis,Budget Expenditure 2006-2007 final 7-15-06 .xis,,,,,,,,7/19/2006,4:22PM
