Name: “Table 1 of 1 on page 116 of 231”,Name: “Table 1 of 1 on page 116 of 231”,Name: “Table 1 of 1 on page 116 of 231”,Name: “Table 1 of 1 on page 116 of 231”,Name: “Table 1 of 1 on page 116 of 231”,Name: “Table 1 of 1 on page 116 of 231”,Name: “Table 1 of 1 on page 116 of 231”,Name: “Table 1 of 1 on page 116 of 231”,Name: “Table 1 of 1 on page 116 of 231”,Name: “Table 1 of 1 on page 116 of 231”,Name: “Table 1 of 1 on page 116 of 231”,Name: “Table 1 of 1 on page 116 of 231”
Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113
,,,,,,,,,,,
,,,,LIBRARY,LIBRARY,LIBRARY,,,,,
Expenditures Summary,,,,,,,,,,,
,,,,,,,,,,$,%
,,,,,FY 2011,FY 2011,FY 2012,FY 2012,Change,Change,Change
,,FY 2009,,FY 2010,Revised,Revised,Adopted,Adopted,From 2011,From 2011,From 2011
,,Actual,,Actual,,Budget,,Budget,,Budget,Budget
Personal Services,$,"486,290",$,"492,888",$,"485,714",$,"515,573",$,"29,859",6.1%
Operating Expenses,,"127,224",,"99,568",,"114,690",,"108,349",,"(6,341)",-5.5%
Capital Outlay,,"151,785",,"160,866",,"136,488",,"129,546",,"(6,942)",-5.1%
Totals,$,"765,299",$,"753,322",$,"736,892",$,"753,468",$,"16,576",2.2%
Personnel Summary,,,,FY 2009,,FY 2010,,FY 2011,,FY 2012,
,,,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,
Library Director,,,,1,,1,,1,,1,
Reference Librarian,,,,1,,1,,1,,1,
Senior Library Associate/System Admin,Senior Library Associate/System Admin,Senior Library Associate/System Admin,,1,,1,,1,,1,
Library Associate,,,,1,,1,,1,,1,
Administrative Secretary,,,,1,,1,,1,,1,
Library Associate (FTE),,,,1.25,,1.25,,1.25,,1.25,
Senior Library Assistant (FTE),Senior Library Assistant (FTE),,,1.40,,1.40,,1.40,,1.40,
Library Assistant (FTE),,,,3.80,,3.80,,3.80,,3.80,
Library Page (FTE),,,,0.50,,0.50,,0.50,,0.50,
Totals,,,,11.95,,11.95,,11.95,,11.95,
Goals and Objectives,,,,,,,,,,,
* Continue to develop the Library's resources and services on a wide variety of formats to meet the,* Continue to develop the Library's resources and services on a wide variety of formats to meet the,* Continue to develop the Library's resources and services on a wide variety of formats to meet the,* Continue to develop the Library's resources and services on a wide variety of formats to meet the,* Continue to develop the Library's resources and services on a wide variety of formats to meet the,* Continue to develop the Library's resources and services on a wide variety of formats to meet the,* Continue to develop the Library's resources and services on a wide variety of formats to meet the,* Continue to develop the Library's resources and services on a wide variety of formats to meet the,* Continue to develop the Library's resources and services on a wide variety of formats to meet the,* Continue to develop the Library's resources and services on a wide variety of formats to meet the,* Continue to develop the Library's resources and services on a wide variety of formats to meet the,
"educational, informational, and leisure needs of the community.","educational, informational, and leisure needs of the community.","educational, informational, and leisure needs of the community.","educational, informational, and leisure needs of the community.","educational, informational, and leisure needs of the community.","educational, informational, and leisure needs of the community.","educational, informational, and leisure needs of the community.",,,,,
"* Provide informational, recreational and cultural programs and activities to enrich the community.","* Provide informational, recreational and cultural programs and activities to enrich the community.","* Provide informational, recreational and cultural programs and activities to enrich the community.","* Provide informational, recreational and cultural programs and activities to enrich the community.","* Provide informational, recreational and cultural programs and activities to enrich the community.","* Provide informational, recreational and cultural programs and activities to enrich the community.","* Provide informational, recreational and cultural programs and activities to enrich the community.","* Provide informational, recreational and cultural programs and activities to enrich the community.","* Provide informational, recreational and cultural programs and activities to enrich the community.","* Provide informational, recreational and cultural programs and activities to enrich the community.","* Provide informational, recreational and cultural programs and activities to enrich the community.",
* Provide up-to-date and high quality technology resources and services which result in positive Library,* Provide up-to-date and high quality technology resources and services which result in positive Library,* Provide up-to-date and high quality technology resources and services which result in positive Library,* Provide up-to-date and high quality technology resources and services which result in positive Library,* Provide up-to-date and high quality technology resources and services which result in positive Library,* Provide up-to-date and high quality technology resources and services which result in positive Library,* Provide up-to-date and high quality technology resources and services which result in positive Library,* Provide up-to-date and high quality technology resources and services which result in positive Library,* Provide up-to-date and high quality technology resources and services which result in positive Library,* Provide up-to-date and high quality technology resources and services which result in positive Library,* Provide up-to-date and high quality technology resources and services which result in positive Library,
experiences.,,,,,,,,,,,
* Enhance the Family Resource Center collection and other manipulatives to help children develop early,* Enhance the Family Resource Center collection and other manipulatives to help children develop early,* Enhance the Family Resource Center collection and other manipulatives to help children develop early,* Enhance the Family Resource Center collection and other manipulatives to help children develop early,* Enhance the Family Resource Center collection and other manipulatives to help children develop early,* Enhance the Family Resource Center collection and other manipulatives to help children develop early,* Enhance the Family Resource Center collection and other manipulatives to help children develop early,* Enhance the Family Resource Center collection and other manipulatives to help children develop early,* Enhance the Family Resource Center collection and other manipulatives to help children develop early,* Enhance the Family Resource Center collection and other manipulatives to help children develop early,* Enhance the Family Resource Center collection and other manipulatives to help children develop early,
literacy skills.,,,,,,,,,,,
* Promote Library membership through services and various outreach programs.,* Promote Library membership through services and various outreach programs.,* Promote Library membership through services and various outreach programs.,* Promote Library membership through services and various outreach programs.,* Promote Library membership through services and various outreach programs.,* Promote Library membership through services and various outreach programs.,* Promote Library membership through services and various outreach programs.,* Promote Library membership through services and various outreach programs.,* Promote Library membership through services and various outreach programs.,,,
"* Work with the Library Advisory Board, the Friends of the Public Library and service groups to promote the","* Work with the Library Advisory Board, the Friends of the Public Library and service groups to promote the","* Work with the Library Advisory Board, the Friends of the Public Library and service groups to promote the","* Work with the Library Advisory Board, the Friends of the Public Library and service groups to promote the","* Work with the Library Advisory Board, the Friends of the Public Library and service groups to promote the","* Work with the Library Advisory Board, the Friends of the Public Library and service groups to promote the","* Work with the Library Advisory Board, the Friends of the Public Library and service groups to promote the","* Work with the Library Advisory Board, the Friends of the Public Library and service groups to promote the","* Work with the Library Advisory Board, the Friends of the Public Library and service groups to promote the","* Work with the Library Advisory Board, the Friends of the Public Library and service groups to promote the","* Work with the Library Advisory Board, the Friends of the Public Library and service groups to promote the","* Work with the Library Advisory Board, the Friends of the Public Library and service groups to promote the"
library as a focal point of community life.,library as a focal point of community life.,library as a focal point of community life.,,,,,,,,,
* Explore migrating to another software program for hosting the library website to make library service,* Explore migrating to another software program for hosting the library website to make library service,* Explore migrating to another software program for hosting the library website to make library service,* Explore migrating to another software program for hosting the library website to make library service,* Explore migrating to another software program for hosting the library website to make library service,* Explore migrating to another software program for hosting the library website to make library service,* Explore migrating to another software program for hosting the library website to make library service,* Explore migrating to another software program for hosting the library website to make library service,* Explore migrating to another software program for hosting the library website to make library service,* Explore migrating to another software program for hosting the library website to make library service,* Explore migrating to another software program for hosting the library website to make library service,
more accessible to the public.,more accessible to the public.,,,,,,,,,,
,,,,80,,,,,,,
