Name: “Table 1 of 1 on page 31 of 78”,Name: “Table 1 of 1 on page 31 of 78”,Name: “Table 1 of 1 on page 31 of 78”,Name: “Table 1 of 1 on page 31 of 78”,Name: “Table 1 of 1 on page 31 of 78”,Name: “Table 1 of 1 on page 31 of 78”,Name: “Table 1 of 1 on page 31 of 78”,Name: “Table 1 of 1 on page 31 of 78”,Name: “Table 1 of 1 on page 31 of 78”,Name: “Table 1 of 1 on page 31 of 78”,Name: “Table 1 of 1 on page 31 of 78”
Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31
,,,,,,,,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,,,,
FY2012-13 Operating Budget,FY2012-13 Operating Budget,FY2012-13 Operating Budget,,,,,,,,
REVENUE BUDGET,REVENUE BUDGET,,,,,,,,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS
Chesapeake Conference Center Fund - 206,Chesapeake Conference Center Fund - 206,Chesapeake Conference Center Fund - 206,Chesapeake Conference Center Fund - 206,,,,,,,
The Chesapeake Conference Center Fund was established to account for revenues and expenditures related to the,The Chesapeake Conference Center Fund was established to account for revenues and expenditures related to the,The Chesapeake Conference Center Fund was established to account for revenues and expenditures related to the,The Chesapeake Conference Center Fund was established to account for revenues and expenditures related to the,The Chesapeake Conference Center Fund was established to account for revenues and expenditures related to the,The Chesapeake Conference Center Fund was established to account for revenues and expenditures related to the,The Chesapeake Conference Center Fund was established to account for revenues and expenditures related to the,The Chesapeake Conference Center Fund was established to account for revenues and expenditures related to the,The Chesapeake Conference Center Fund was established to account for revenues and expenditures related to the,The Chesapeake Conference Center Fund was established to account for revenues and expenditures related to the,The Chesapeake Conference Center Fund was established to account for revenues and expenditures related to the
operation of the Chesapeake Conference Center which opened during FY 1998 and tourism promotion activities,operation of the Chesapeake Conference Center which opened during FY 1998 and tourism promotion activities,operation of the Chesapeake Conference Center which opened during FY 1998 and tourism promotion activities,operation of the Chesapeake Conference Center which opened during FY 1998 and tourism promotion activities,operation of the Chesapeake Conference Center which opened during FY 1998 and tourism promotion activities,operation of the Chesapeake Conference Center which opened during FY 1998 and tourism promotion activities,operation of the Chesapeake Conference Center which opened during FY 1998 and tourism promotion activities,operation of the Chesapeake Conference Center which opened during FY 1998 and tourism promotion activities,operation of the Chesapeake Conference Center which opened during FY 1998 and tourism promotion activities,operation of the Chesapeake Conference Center which opened during FY 1998 and tourism promotion activities,
benefiting the local hospitality industry. The revenues come from Restaurant Food Tax (0.5% of 5.5% local tax) and Hotel,benefiting the local hospitality industry. The revenues come from Restaurant Food Tax (0.5% of 5.5% local tax) and Hotel,benefiting the local hospitality industry. The revenues come from Restaurant Food Tax (0.5% of 5.5% local tax) and Hotel,benefiting the local hospitality industry. The revenues come from Restaurant Food Tax (0.5% of 5.5% local tax) and Hotel,benefiting the local hospitality industry. The revenues come from Restaurant Food Tax (0.5% of 5.5% local tax) and Hotel,benefiting the local hospitality industry. The revenues come from Restaurant Food Tax (0.5% of 5.5% local tax) and Hotel,benefiting the local hospitality industry. The revenues come from Restaurant Food Tax (0.5% of 5.5% local tax) and Hotel,benefiting the local hospitality industry. The revenues come from Restaurant Food Tax (0.5% of 5.5% local tax) and Hotel,benefiting the local hospitality industry. The revenues come from Restaurant Food Tax (0.5% of 5.5% local tax) and Hotel,benefiting the local hospitality industry. The revenues come from Restaurant Food Tax (0.5% of 5.5% local tax) and Hotel,benefiting the local hospitality industry. The revenues come from Restaurant Food Tax (0.5% of 5.5% local tax) and Hotel
"Room Taxes (1% of 8% local tax, plus $1/room-night) along with Charges for Services. Charges for Services include Food","Room Taxes (1% of 8% local tax, plus $1/room-night) along with Charges for Services. Charges for Services include Food","Room Taxes (1% of 8% local tax, plus $1/room-night) along with Charges for Services. Charges for Services include Food","Room Taxes (1% of 8% local tax, plus $1/room-night) along with Charges for Services. Charges for Services include Food","Room Taxes (1% of 8% local tax, plus $1/room-night) along with Charges for Services. Charges for Services include Food","Room Taxes (1% of 8% local tax, plus $1/room-night) along with Charges for Services. Charges for Services include Food","Room Taxes (1% of 8% local tax, plus $1/room-night) along with Charges for Services. Charges for Services include Food","Room Taxes (1% of 8% local tax, plus $1/room-night) along with Charges for Services. Charges for Services include Food","Room Taxes (1% of 8% local tax, plus $1/room-night) along with Charges for Services. Charges for Services include Food","Room Taxes (1% of 8% local tax, plus $1/room-night) along with Charges for Services. Charges for Services include Food","Room Taxes (1% of 8% local tax, plus $1/room-night) along with Charges for Services. Charges for Services include Food"
"Revenue, Beverage Revenue, Sale of Services, Rent of Conference Center, Admission Fees, and Service Fees.","Revenue, Beverage Revenue, Sale of Services, Rent of Conference Center, Admission Fees, and Service Fees.","Revenue, Beverage Revenue, Sale of Services, Rent of Conference Center, Admission Fees, and Service Fees.","Revenue, Beverage Revenue, Sale of Services, Rent of Conference Center, Admission Fees, and Service Fees.","Revenue, Beverage Revenue, Sale of Services, Rent of Conference Center, Admission Fees, and Service Fees.","Revenue, Beverage Revenue, Sale of Services, Rent of Conference Center, Admission Fees, and Service Fees.","Revenue, Beverage Revenue, Sale of Services, Rent of Conference Center, Admission Fees, and Service Fees.","Revenue, Beverage Revenue, Sale of Services, Rent of Conference Center, Admission Fees, and Service Fees.","Revenue, Beverage Revenue, Sale of Services, Rent of Conference Center, Admission Fees, and Service Fees.","Revenue, Beverage Revenue, Sale of Services, Rent of Conference Center, Admission Fees, and Service Fees.",
,,,,CONFERENCE CENTER FUND,CONFERENCE CENTER FUND,CONFERENCE CENTER FUND,CONFERENCE CENTER FUND,,,Millions
,,,,,11.3%,,,,,
14%,,,,,,,,,,$6
12%,10.4%,,,,,,,,,
10%,,,,,,,,,8.1%,$5
8%,,7.1%,,,,,,,,
6%,,,3.9%,,,,,,,$4
4%,,,,2.8%,,,,,,
,,,,,,,,,,$3
2%,,,,,,,,,,
0%,,,,,,,,,,$2
-2%,,,,,,,-0.5%,-0.5%,,-0.2%
-4%,,,,,,,,,,$1
-6%,,,,,,,,,,
,,,,,,-5.3%,,,,
-8%,,,,,,,,,,$0
,2004,2005,2006,2007,2008,2009,2010,2011,Budget,Forecast
,,,,,,,,,2012,2013
,,,,Change,,,Revenue,,,
,,CHESAPEAKE CHESAPEAKE CONFERENCE CENTER FUND - 206 REVENUES,CHESAPEAKE CHESAPEAKE CONFERENCE CENTER FUND - 206 REVENUES,CHESAPEAKE CHESAPEAKE CONFERENCE CENTER FUND - 206 REVENUES,CHESAPEAKE CHESAPEAKE CONFERENCE CENTER FUND - 206 REVENUES,CHESAPEAKE CHESAPEAKE CONFERENCE CENTER FUND - 206 REVENUES,CHESAPEAKE CHESAPEAKE CONFERENCE CENTER FUND - 206 REVENUES,CHESAPEAKE CHESAPEAKE CONFERENCE CENTER FUND - 206 REVENUES,CHESAPEAKE CHESAPEAKE CONFERENCE CENTER FUND - 206 REVENUES,
,,,Fiscal Year,Fiscal Year,Revenue,Revenue,Change,Change,,
,,,,2004,"$4,375,735","$4,375,735",10.4%,10.4%,,
,,,,2005,"$4,684,910","$4,684,910",7.1%,,,
,,,,2006,"$4,866,199","$4,866,199",3.9%,,,
,,,,2007,"$5,003,905","$5,003,905",2.8%,,,
,,,,2008,"$5,570,351","$5,570,351",11.3%,11.3%,,
,,,,2009,"$5,273,884","$5,273,884",-5.3%,-5.3%,,
,,,,2010,"$5,246,346","$5,246,346",-0.5%,-0.5%,,
,,,,2011,"$5,222,109","$5,222,109",-0.5%,-0.5%,,
,,,Budget 2012,Budget 2012,"$5,646,760","$5,646,760",8.1%,,,
,,,Forecast 2013,Forecast 2013,"$5,634,682","$5,634,682",-0.2%,-0.2%,,
FY 2012-13 Operating Budget,FY 2012-13 Operating Budget,FY 2012-13 Operating Budget,,,64,,,,"As Amended June 12, 2012","As Amended June 12, 2012"
