Name: “Table 1 of 1 on page 43 of 78”,Name: “Table 1 of 1 on page 43 of 78”,Name: “Table 1 of 1 on page 43 of 78”,Name: “Table 1 of 1 on page 43 of 78”,Name: “Table 1 of 1 on page 43 of 78”,Name: “Table 1 of 1 on page 43 of 78”,Name: “Table 1 of 1 on page 43 of 78”,Name: “Table 1 of 1 on page 43 of 78”,Name: “Table 1 of 1 on page 43 of 78”,Name: “Table 1 of 1 on page 43 of 78”
Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43
,,,,,,,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,,,,
FY2012-13 Operating Budget,FY2012-13 Operating Budget,,,,,,,,
REVENUE BUDGET,,,,,,,,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS
Transfer to Schools,,,,,,,,,
"A large portion General Fund revenues is transferred to other funds - principally to fund school operations, school and","A large portion General Fund revenues is transferred to other funds - principally to fund school operations, school and","A large portion General Fund revenues is transferred to other funds - principally to fund school operations, school and","A large portion General Fund revenues is transferred to other funds - principally to fund school operations, school and","A large portion General Fund revenues is transferred to other funds - principally to fund school operations, school and","A large portion General Fund revenues is transferred to other funds - principally to fund school operations, school and","A large portion General Fund revenues is transferred to other funds - principally to fund school operations, school and","A large portion General Fund revenues is transferred to other funds - principally to fund school operations, school and","A large portion General Fund revenues is transferred to other funds - principally to fund school operations, school and","A large portion General Fund revenues is transferred to other funds - principally to fund school operations, school and"
"city-wide debt service, Social Services, Community Services, Interagency Consortium, and capital construction projects.","city-wide debt service, Social Services, Community Services, Interagency Consortium, and capital construction projects.","city-wide debt service, Social Services, Community Services, Interagency Consortium, and capital construction projects.","city-wide debt service, Social Services, Community Services, Interagency Consortium, and capital construction projects.","city-wide debt service, Social Services, Community Services, Interagency Consortium, and capital construction projects.","city-wide debt service, Social Services, Community Services, Interagency Consortium, and capital construction projects.","city-wide debt service, Social Services, Community Services, Interagency Consortium, and capital construction projects.","city-wide debt service, Social Services, Community Services, Interagency Consortium, and capital construction projects.","city-wide debt service, Social Services, Community Services, Interagency Consortium, and capital construction projects.","city-wide debt service, Social Services, Community Services, Interagency Consortium, and capital construction projects."
The General Fund also receives transfers from other funds of interest earned on cash balances. The transfer to the school,The General Fund also receives transfers from other funds of interest earned on cash balances. The transfer to the school,The General Fund also receives transfers from other funds of interest earned on cash balances. The transfer to the school,The General Fund also receives transfers from other funds of interest earned on cash balances. The transfer to the school,The General Fund also receives transfers from other funds of interest earned on cash balances. The transfer to the school,The General Fund also receives transfers from other funds of interest earned on cash balances. The transfer to the school,The General Fund also receives transfers from other funds of interest earned on cash balances. The transfer to the school,The General Fund also receives transfers from other funds of interest earned on cash balances. The transfer to the school,The General Fund also receives transfers from other funds of interest earned on cash balances. The transfer to the school,The General Fund also receives transfers from other funds of interest earned on cash balances. The transfer to the school
operating budget represents by far the largest of the transfers. About 40% of school operating expenses and a significant,operating budget represents by far the largest of the transfers. About 40% of school operating expenses and a significant,operating budget represents by far the largest of the transfers. About 40% of school operating expenses and a significant,operating budget represents by far the largest of the transfers. About 40% of school operating expenses and a significant,operating budget represents by far the largest of the transfers. About 40% of school operating expenses and a significant,operating budget represents by far the largest of the transfers. About 40% of school operating expenses and a significant,operating budget represents by far the largest of the transfers. About 40% of school operating expenses and a significant,operating budget represents by far the largest of the transfers. About 40% of school operating expenses and a significant,operating budget represents by far the largest of the transfers. About 40% of school operating expenses and a significant,operating budget represents by far the largest of the transfers. About 40% of school operating expenses and a significant
portion of the capital expenses and all of the debt service are funded by the General Fund.,portion of the capital expenses and all of the debt service are funded by the General Fund.,portion of the capital expenses and all of the debt service are funded by the General Fund.,portion of the capital expenses and all of the debt service are funded by the General Fund.,portion of the capital expenses and all of the debt service are funded by the General Fund.,portion of the capital expenses and all of the debt service are funded by the General Fund.,portion of the capital expenses and all of the debt service are funded by the General Fund.,portion of the capital expenses and all of the debt service are funded by the General Fund.,,
,,,TRANSFER TO SCHOOL OPERATING FUND,TRANSFER TO SCHOOL OPERATING FUND,TRANSFER TO SCHOOL OPERATING FUND,TRANSFER TO SCHOOL OPERATING FUND,TRANSFER TO SCHOOL OPERATING FUND,,Millions
15%,,,,13.2%,,,,,$200
,,,12.1%,,,,,,
,,,,,,,,,$180
10%,7.3%,8.9%,,,,,,,$160
5.7%,,,,,,,,,$140
5%,,,,,,,,,$120
,,,,,,,,1.9%,
,,,,,,,,,1.1%
,,,,,,,,,$100
0%,,,,,,,,,$80
,,,,,,,,,$60
-5%,,,,,,-3.3%,-2.6%,,$40
,,,,,,,,,$20
,,,,,-6.6%,,,,
-10%,,,,,,,,,$0
2004,2005,2006,2007,2008,2009,2010,2011,Budget,Budget
,,,,,,,,2012,2013
,,,Change,,,Amount,,,
,,CHESAPEAKE TRANSFER TO SCHOOL OPERATING FUND,CHESAPEAKE TRANSFER TO SCHOOL OPERATING FUND,CHESAPEAKE TRANSFER TO SCHOOL OPERATING FUND,CHESAPEAKE TRANSFER TO SCHOOL OPERATING FUND,CHESAPEAKE TRANSFER TO SCHOOL OPERATING FUND,CHESAPEAKE TRANSFER TO SCHOOL OPERATING FUND,,
,,,Fiscal Year,Amount,Amount,Change,Change,,
,,,2004,"$127,628,809","$127,628,809",5.7%,5.7%,,
,,,2005,"$136,961,818","$136,961,818",7.3%,7.3%,,
,,,2006,"$149,149,921","$149,149,921",8.9%,8.9%,,
,,,2007,"$167,260,166","$167,260,166",12.1%,12.1%,,
,,,2008,"$189,393,501","$189,393,501",13.2%,13.2%,,
,,,2009,"$176,836,793","$176,836,793",-6.6%,-6.6%,,
,,,2010,"$170,943,767","$170,943,767",-3.3%,-3.3%,,
,,,2011,"$166,488,283","$166,488,283",-2.6%,-2.6%,,
,,Budget 2012,Budget 2012,"$169,600,054","$169,600,054",1.9%,1.9%,,
,,Budget 2013,Budget 2013,"$171,438,112","$171,438,112",1.1%,1.1%,,
