Name: “Table 1 of 1 on page 2 of 77”,Name: “Table 1 of 1 on page 2 of 77”,Name: “Table 1 of 1 on page 2 of 77”
Table: 2,Table: 2,Table: 2
,,
,Poquoson,City Council
•,"Mr. Gordon C. Helsel, Jr., Mayor","Mr. Gordon C. Helsel, Jr., Mayor"
•,"Mr. Arthur V. Holloway, Vice Mayor","Mr. Arthur V. Holloway, Vice Mayor"
•,Ms. Debra D. Bunting,Ms. Debra D. Bunting
•,"Mr. Herbert R. Green, Jr.","Mr. Herbert R. Green, Jr."
•,Mr. Walter W. Hill,Mr. Walter W. Hill
•,"Mr. W. Eugene Hunt, Jr.","Mr. W. Eugene Hunt, Jr."
•,Mr. Frank A. Kreiger,Mr. Frank A. Kreiger
