,,,,,,,
Average Daily Ridership,,,,,,,
,,,,,,,
Does not include discontinued or unknown routes.,,,,,,,
,,,,,,,
Mode,Transit Bus,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Average Daily Ridership,,,,,,,
,,Weekday,,Saturday,,Sunday,
Route,MonthText,FY13,FY14,FY13,FY14,FY13,FY14
1,July,"3,239","2,922","1,683","1,697","1,080","1,110"
,August,"3,177","2,978","2,320","2,114","1,126","1,101"
,September,"3,586","3,250","2,058","2,179","1,213","1,290"
,October,"3,292",,"2,232",,974,
,November,"3,386",,"1,907",,929,
,December,"2,928",,"2,139",,978,
,January,"3,244",,"1,586",,883,
,February,"3,429",,"2,028",,"1,467",
,March,"2,954",,"2,155",,975,
,April,"3,145",,"2,254",,"1,204",
,May,"3,276",,"1,778",,"1,247",
,June,"2,865",,"2,148",,"1,067",
2,July,912,"1,027",375,351,314,368
,August,"1,027","1,047",474,477,342,351
,September,"1,399","1,243",514,411,464,428
,October,"1,210",,571,,346,
,November,"1,224",,395,,309,
,December,964,,455,,285,
,January,"1,156",,392,,310,
,February,"1,180",,496,,379,
,March,"1,086",,523,,312,
,April,"1,163",,524,,404,
,May,"1,040",,369,,343,
,June,980,,484,,375,
3,July,"2,190","2,249","1,224","1,303",940,959
,August,"2,220","2,259","1,591","1,576",930,"1,004"
,September,"2,685","2,575","1,453","1,364","1,012","1,051"
,October,"2,513",,"1,764",,838,
,November,"2,573",,"1,367",,776,
,December,"2,403",,"1,713",,851,
,January,"2,599",,"1,338",,851,
,February,"2,486",,"1,495",,984,
,March,"2,297",,"1,627",,667,
,April,"2,439",,"1,677",,"1,070",
,May,"2,461",,"1,297",,"1,009",
,June,"2,254",,"1,627",,"1,046",
4,July,197,168,79,71,61,60
,August,186,148,122,104,69,62
,September,214,194,127,94,91,72
,October,233,,158,,77,
,November,265,,112,,74,
,December,204,,133,,54,
,January,196,,80,,61,
,February,190,,126,,81,
,March,184,,139,,72,
,April,186,,117,,73,
,May,208,,88,,45,
,June,174,,121,,58,
5,July,277,305,180,192,0,0
,August,294,260,224,216,0,0
,September,313,289,211,170,0,0
,October,294,,240,,0,
,November,317,,214,,0,
,December,296,,252,,0,
,January,313,,176,,0,
,February,325,,225,,0,
,March,302,,236,,0,
,April,317,,236,,0,
,May,320,,175,,0,
,June,312,,287,,0,
6,July,911,901,442,642,150,182
,August,973,925,619,774,161,190
,September,"1,140",978,552,511,175,205
,October,"1,070",,640,,155,
,November,"1,115",,619,,138,
,December,"1,001",,644,,144,
,January,"1,099",,536,,139,
,February,"1,146",,640,,190,
,March,"1,022",,632,,168,
,April,"1,061",,608,,173,
,May,"1,049",,466,,178,
,June,977,,638,,197,
8,July,"1,432","1,466",837,933,519,554
,August,"1,524","1,460","1,058","1,091",554,574
,September,"1,712","1,623","1,033",888,642,623
,October,"1,602",,"1,240",,506,
,November,"1,730",,977,,488,
,December,"1,551",,"1,242",,584,
,January,"1,765",,911,,526,
,February,"1,655",,"1,144",,619,
,March,"1,538",,"1,168",,542,
,April,"1,546",,"1,178",,627,
,May,"1,614",,876,,626,
,June,"1,529",,"1,160",,560,
9,July,988,919,404,382,1,2
,August,"1,064",955,561,465,2,2
,September,"1,252","1,170",543,476,1,3
,October,"1,147",,589,,1,
,November,"1,118",,440,,0,
,December,"1,003",,560,,0,
,January,"1,183",,461,,0,
,February,"1,140",,532,,2,
,March,"1,087",,531,,1,
,April,"1,068",,576,,2,
,May,"1,032",,379,,5,
,June,963,,500,,6,
11,July,184,165,84,77,49,37
,August,201,168,125,121,46,35
,September,246,190,112,81,56,37
,October,219,,126,,43,
,November,207,,97,,32,
,December,199,,132,,45,
,January,219,,91,,38,
,February,215,,133,,57,
,March,186,,120,,52,
,April,175,,120,,50,
,May,184,,99,,43,
,June,175,,129,,54,
12,July,485,516,256,286,0,0
,August,516,548,347,371,0,0
,September,626,596,336,306,0,0
,October,548,,388,,0,
,November,596,,289,,0,
,December,499,,388,,0,
,January,577,,291,,0,
,February,581,,351,,0,
,March,544,,365,,0,
,April,563,,353,,0,
,May,533,,295,,3,
,June,524,,383,,0,
13,July,"1,272","1,268",631,738,336,337
,August,"1,301","1,327",897,952,350,375
,September,"1,570","1,498",850,795,423,363
,October,"1,445",,980,,312,
,November,"1,562",,805,,325,
,December,"1,432",,"1,008",,322,
,January,"1,563",,740,,303,
,February,"1,470",,968,,441,
,March,"1,384",,989,,340,
,April,"1,408",,937,,386,
,May,"1,447",,724,,391,
,June,"1,334",,947,,401,
14,July,423,421,162,201,0,0
,August,437,441,243,248,0,0
,September,555,521,227,219,3,0
,October,520,,256,,0,
,November,530,,210,,0,
,December,453,,254,,0,
,January,526,,200,,0,
,February,550,,261,,0,
,March,480,,269,,0,
,April,487,,265,,0,
,May,468,,201,,0,
,June,451,,290,,0,
15,July,"2,769","2,761","1,340","1,421",768,776
,August,"2,803","2,889","1,873","1,707",738,805
,September,"3,133","3,101","1,667","1,607",837,847
,October,"2,931",,"2,009",,692,
,November,"3,172",,"1,607",,634,
,December,"2,829",,"1,966",,676,
,January,"3,001",,"1,367",,640,
,February,"2,951",,"1,832",,711,
,March,"2,798",,"2,053",,668,
,April,"2,898",,"2,043",,847,
,May,"3,002",,"1,563",,820,
,June,"2,812",,"2,071",,814,
16,July,246,271,118,146,51,78
,August,304,293,189,203,71,81
,September,485,346,323,202,138,94
,October,436,,368,,79,
,November,448,,293,,134,
,December,329,,277,,101,
,January,438,,256,,123,
,February,403,,361,,154,
,March,365,,308,,114,
,April,402,,338,,133,
,May,340,,180,,74,
,June,292,,231,,88,
17,July,694,374,245,104,142,56
,August,804,342,350,117,146,58
,September,"1,050",413,328,85,157,53
,October,857,,352,,127,
,November,760,,171,,74,
,December,559,,215,,91,
,January,807,,186,,85,
,February,744,,209,,102,
,March,600,,210,,82,
,April,613,,206,,108,
,May,563,,164,,100,
,June,553,,237,,113,
18,July,218,154,118,114,0,0
,August,233,162,193,124,0,0
,September,272,180,139,98,0,0
,October,258,,180,,0,
,November,240,,115,,0,
,December,197,,154,,0,
,January,253,,107,,0,
,February,237,,151,,0,
,March,233,,161,,0,
,April,240,,143,,0,
,May,236,,128,,0,
,June,206,,170,,0,
20,July,"4,728","4,500","2,459","2,617","1,829","1,937"
,August,"4,722","4,466","3,197","3,251","1,777","1,873"
,September,"5,205","4,801","2,817","2,586","1,924","1,781"
,October,"4,702",,"3,256",,"1,537",
,November,"4,940",,"2,566",,"1,421",
,December,"4,366",,"3,112",,"1,453",
,January,"4,724",,"2,367",,"1,431",
,February,"4,608",,"2,835",,"1,751",
,March,"4,449",,"3,244",,"1,557",
,April,"4,564",,"3,252",,"1,853",
,May,"4,763",,"2,442",,"1,765",
,June,"4,417",,"3,477",,"1,846",
21,July,"2,260","2,108","1,177","1,300",739,769
,August,"2,223","2,225","1,577","1,594",754,791
,September,"2,515","2,444","1,445","1,341",764,777
,October,"2,374",,"1,780",,690,
,November,"2,543",,"1,379",,635,
,December,"2,295",,"1,755",,705,
,January,"2,490",,"1,255",,638,
,February,"2,295",,"1,658",,795,
,March,"2,269",,"1,753",,706,
,April,"2,313",,"1,667",,807,
,May,"2,342",,"1,295",,811,
,June,"2,149",,"1,672",,741,
22,July,,290,,157,,0
,August,,307,,176,,0
,September,,334,,150,,0
,October,13,,0,,0,
,November,192,,88,,0,
,December,195,,117,,0,
,January,238,,105,,0,
,February,249,,157,,0,
,March,243,,159,,0,
,April,259,,164,,0,
,May,268,,122,,0,
,June,265,,181,,0,
23,July,"1,786","1,445","1,020",965,547,488
,August,"1,908","1,424","1,405","1,139",587,523
,September,"2,071","1,614","1,328",919,688,520
,October,"1,920",,"1,572",,551,
,November,"2,058",,"1,229",,534,
,December,"1,888",,"1,443",,529,
,January,"1,987",,"1,058",,489,
,February,"1,984",,"1,448",,667,
,March,"1,925",,"1,501",,593,
,April,"1,883",,"1,435",,689,
,May,"1,950",,"1,093",,654,
,June,"1,766",,"1,465",,691,
25,July,454,498,1,220,0,3
,August,499,511,1,303,0,1
,September,640,638,2,260,0,1
,October,593,,1,,0,
,November,592,,1,,0,
,December,476,,1,,0,
,January,601,,1,,0,
,February,598,,133,,0,
,March,548,,230,,1,
,April,574,,250,,1,
,May,509,,190,,21,
