Name: “Table 1 of 1 on page 150 of 151”,Name: “Table 1 of 1 on page 150 of 151”,Name: “Table 1 of 1 on page 150 of 151”,Name: “Table 1 of 1 on page 150 of 151”,Name: “Table 1 of 1 on page 150 of 151”,Name: “Table 1 of 1 on page 150 of 151”,Name: “Table 1 of 1 on page 150 of 151”,Name: “Table 1 of 1 on page 150 of 151”,Name: “Table 1 of 1 on page 150 of 151”,Name: “Table 1 of 1 on page 150 of 151”
Table: 148,Table: 148,Table: 148,Table: 148,Table: 148,Table: 148,Table: 148,Table: 148,Table: 148,Table: 148
,,,,,,,,,
"County of Isle of Wight, Virginia","County of Isle of Wight, Virginia","County of Isle of Wight, Virginia",,,,,,,
Principal Property Taxpayers,Principal Property Taxpayers,Principal Property Taxpayers,,,,,,,
"June 30, 2006","June 30, 2006",,,,,,,,
,,,,2006,,,,2005,
,,,,,Percent of,,,,Percent of
,,,,,Total,,,,Total
,,,Assessed,,Assessed,,Assessed,,Assessed
,,,Valuation,Rank,Valuation,,Valuation,Rank,Valuation
,Taxpayer,,Real Estate,,Real Estate,,Real Estate,,Real Estate
International Paper,International Paper,$,"65,839,477",1,2.51%,$,"66,826,877",1,2.69%
Cost Plus,Cost Plus,,"36,898,050",2,1.40%,,"36,898,050",2,1.49%
Smithfield Foods Inc.,Smithfield Foods Inc.,,"21,947,200",3,0.84%,,"21,947,200",3,0.88%
Gwaltney of Smithfield Ltd.,Gwaltney of Smithfield Ltd.,,"18,383,200",4,0.70%,,"18,383,200",4,0.74%
"Smithfield Packing Co., Inc.","Smithfield Packing Co., Inc.",,"15,861,017",5,0.60%,,"15,708,417",5,0.63%
Carolina Cold Storage Ltd.,Carolina Cold Storage Ltd.,,"10,200,500",6,0.39%,,"10,200,500",6,0.41%
Smithfield-Carroll's Farms,Smithfield-Carroll's Farms,,"8,929,300",7,0.34%,,"11,028,800",7,0.44%
Eagle Harbor LLC,Eagle Harbor LLC,,"8,250,301",8,0.31%,,"8,250,301",8,0.33%
Eagle Harbor Shopping Center,Eagle Harbor Shopping Center,,"7,554,725",9,0.29%,,"7,554,725",9,0.30%
Bradford Mews,Bradford Mews,,"7,119,800",10,0.27%,,"7,119,800",10,0.29%
,,$,"200,983,570",,7.65%,$,"203,917,870",,8.22%
,,,,,Percent of,,,,Percent of
,,,,,Total,,,,Total
,,,Assessed,,Assessed,,Assessed,,Assessed
,,,Valuation,,Valuation,,Valuation,,Valuation
,,,Personal,,Personal,,Personal,,Personal
,Taxpayer,,Property,,Property (1),,Property,,Property (1)
International Paper,International Paper,$,"535,118,662",1,56.82%,$,"512,828,385",1,56.67%
"Smithfield Packing Co., Inc.","Smithfield Packing Co., Inc.",,"54,854,055",2,5.82%,,"51,539,397",2,5.70%
Gwaltney of Smithfield Ltd.,Gwaltney of Smithfield Ltd.,,"41,175,267",3,4.37%,,"38,803,187",3,4.29%
Aconcagua Timber Corp.,Aconcagua Timber Corp.,,"14,987,054",4,1.59%,,"13,045,526",4,1.44%
Smithfield Foods,Smithfield Foods,,"8,755,451",5,0.93%,,"8,755,451",5,0.97%
Franklin Equipment Co.,Franklin Equipment Co.,,"6,439,594",6,0.68%,,"6,445,238",6,0.71%
Specialty Minerals,Specialty Minerals,,"6,453,742",7,0.69%,,"6,370,263",7,0.70%
"Cost Plus, Inc.","Cost Plus, Inc.",,"4,026,922",8,0.43%,,"3,769,257",8,0.42%
Smithfield Ham & Products Co.,Smithfield Ham & Products Co.,,"2,882,921",9,0.31%,,"2,789,398",9,0.31%
Hollerbach Andres & Grap Equipment,Hollerbach Andres & Grap Equipment,Hollerbach Andres & Grap Equipment,"901,657",10,0.10%,,"2,512,560",10,0.28%
,,$,"675,595,325",,71.74%,$,"646,858,662",,71.48%
(1),"Includes personal property, mobile homes, and machinery and tools.","Includes personal property, mobile homes, and machinery and tools.","Includes personal property, mobile homes, and machinery and tools.","Includes personal property, mobile homes, and machinery and tools.",,,,,
