"Per Capita Income",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Economic Analysis & HRPDC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,
"Chesapeake",3354,3480,3793,4152,4604,5051,5467,5982,6578,7492,8318,9630,10705,11576,12611,14175,15009,16029,16705,17516,18339,18425,19239,20208,20857,21297,21662,22873,23815,24709,25866,27287,29302,30886,32766,33761,35058,37141,39598,40591,39952,40867,42504,
"Franklin(City) & Southampton",2465,2810,2891,3334,3747,4017,4030,4357,4903,5138,5413,6214,7674,8339,8727,10091,10922,11899,12607,13712,14756,15765,16550,17143,17386,18864,19197,19510,20402,21926,22319,23443,24518,25252,26347,27262,27788,29048,30180,31907,30965,30287,31313,
"Gloucester",3368,3559,3857,4367,4665,4925,5419,6110,6597,7372,7889,9106,10070,10840,11835,12729,13342,13929,14502,15179,15982,16711,17619,18251,18374,19439,19704,20496,21469,22739,23492,24942,26882,27684,28941,30536,31517,34078,35944,37450,36853,37104,38886,
"Hampton",3412,3541,3862,4148,4448,4810,5108,5711,6155,6748,7417,8315,9221,10145,10962,12153,13069,13720,14232,14837,15687,16467,17171,17894,18063,18613,19329,20157,20915,22272,23048,24495,26666,28153,29965,30726,32062,33814,35864,37469,37526,38299,40001,
"Isle of Wight",3023,3244,3438,3951,4300,4697,5597,6100,6795,7349,8137,9567,10927,11140,12057,13705,14392,15227,15645,16607,17620,17149,17988,18848,19390,20481,20876,22008,23306,24389,25461,27551,29256,29536,31413,32311,34136,36388,37993,39712,39308,40634,42883,
"James City & Williamsburg",3254,3700,4234,4232,4819,5130,5706,5957,6421,7360,8384,9422,10635,11687,12609,14148,15149,16299,17377,18636,19963,21017,21616,22752,23254,24298,25149,27211,29937,32164,33245,35618,37048,37665,38389,40974,41692,44480,47825,51274,47581,49355,52228,
"Newport News",3577,3657,3916,4247,4543,4972,5479,5959,6557,7092,8014,9137,10041,10753,11818,13038,13947,14660,15392,15801,16213,16777,17490,17759,18066,18502,18972,19557,20020,20968,21099,22332,24202,24710,25995,26896,28154,29837,31569,32740,32560,33204,34752,
"Norfolk",3753,3695,3972,4554,4978,5546,5870,6208,6762,7491,8222,9165,10094,11225,11308,12240,13229,13600,13863,14735,15422,16062,16830,17210,17615,18288,18768,19459,20430,21507,22124,23402,25356,26006,27893,28930,30875,32609,34375,35330,34441,35271,36873,
"Poquoson & York",3552,3654,4052,4512,5001,5619,6123,6735,6996,7675,8468,9899,11714,12676,13887,15177,16317,17110,17599,18421,19687,21197,22200,23524,23709,24408,24156,24400,25946,27228,28487,30211,31792,33083,34870,35858,39017,41223,43203,44767,43818,45198,47564,
"Portsmouth",2832,3158,3420,3828,4064,4607,5119,5585,6169,6815,7750,8815,9649,10261,10980,11993,12613,13394,13736,14357,15254,15355,15944,16448,16953,17036,17575,18396,19236,19932,20478,21599,23856,25896,27909,28953,30036,31373,33326,35055,34776,35686,37583,
