Building Permits
2011 Building Permits
Monthly New Privately-Owned Residential Building Permits
York County, Virginia (York County -  667000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",89,89,18207881,89,89,18207881
"Two Family",0,0,0,0,0,0
"Three and Four Family",0,0,0,0,0,0
"Five or More Family",0,0,0,0,0,0
"Total",89,89,18207881,89,89,18207881
Source: U.S. Census Bureau
