Building Permits
2007 Building Permits
Monthly New Privately-Owned Residential Building Permits
York County, Virginia (York County -  667000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",204,204,48577220,204,204,48577220
"Two Family",0,0,0,0,0,0
"Three and Four Family",13,39,4260000,13,39,4260000
"Five or More Family",1,52,13000000,1,52,13000000
"Total",218,295,65837220,218,295,65837220
Source: U.S. Census Bureau
