Building Permits
1999 Building Permits
Monthly New Privately-Owned Residential Building Permits
York County, Virginia (York County -  667000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",584,584,62579167,546,546,59007403
"Two Family",0,0,0,0,0,0
"Three and Four Family",1,4,600000,1,4,600000
"Five or More Family",21,213,8493522,20,208,8052000
"Total",606,801,71672689,567,758,67659403
Source: U.S. Census Bureau
