Building Permits
2005 Building Permits
Monthly New Privately-Owned Residential Building Permits
York County, Virginia (York County -  667000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",312,312,52354295,312,312,52354295
"Two Family",0,0,0,0,0,0
"Three and Four Family",12,48,3436700,12,48,3436700
"Five or More Family",0,0,0,0,0,0
"Total",324,360,55790995,324,360,55790995
Source: U.S. Census Bureau
