Building Permits
2010 Building Permits
Monthly New Privately-Owned Residential Building Permits
York County, Virginia (York County -  667000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",148,148,26036075,148,148,26036075
"Two Family",0,0,0,0,0,0
"Three and Four Family",4,12,1200000,4,12,1200000
"Five or More Family",0,0,0,0,0,0
"Total",152,160,27236075,152,160,27236075
Source: U.S. Census Bureau
