Building Permits
2012 Building Permits
Monthly New Privately-Owned Residential Building Permits
York County, Virginia (York County -  667000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",108,108,17749274,108,108,17749274
"Two Family",0,0,0,0,0,0
"Three and Four Family",6,20,2042402,6,20,2042402
"Five or More Family",2,12,1382429,2,12,1382429
"Total",116,140,21174105,116,140,21174105
Source: U.S. Census Bureau
