Building Permits
2003 Building Permits
Monthly New Privately-Owned Residential Building Permits
York County, Virginia (York County -  667000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",439,439,63101435,439,439,63101435
"Two Family",10,20,1603000,10,20,1603000
"Three and Four Family",12,48,4200000,12,48,4200000
"Five or More Family",9,88,4700000,9,88,4700000
"Total",470,595,73604435,470,595,73604435
Source: U.S. Census Bureau
