Building Permits
2001 Building Permits
Monthly New Privately-Owned Residential Building Permits
York County, Virginia (York County -  667000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",430,430,57743817,430,430,57743817
"Two Family",5,10,1100000,5,10,1100000
"Three and Four Family",0,0,0,0,0,0
"Five or More Family",6,91,9660000,6,91,9660000
"Total",441,531,68503817,441,531,68503817
Source: U.S. Census Bureau
