Building Permits
1996 Building Permits
Monthly New Privately-Owned Residential Building Permits
York County, Virginia (York County -  667000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",330,330,34212910,330,330,34212910
"Two Family",41,82,3171400,41,82,3171400
"Three and Four Family",2,7,334640,2,7,334640
"Five or More Family",5,34,2836379,5,34,2836379
"Total",378,453,40555329,378,453,40555329
Source: U.S. Census Bureau
