Building Permits
2008 Building Permits
Monthly New Privately-Owned Residential Building Permits
York County, Virginia (York County -  667000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",183,183,49067923,183,183,49067923
"Two Family",0,0,0,0,0,0
"Three and Four Family",0,0,0,0,0,0
"Five or More Family",2,219,9433000,2,219,9433000
"Total",185,402,58500923,185,402,58500923
Source: U.S. Census Bureau
