Building Permits
2006 Building Permits
Monthly New Privately-Owned Residential Building Permits
York County, Virginia (York County -  667000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",301,301,49636015,301,301,49636015
"Two Family",0,0,0,0,0,0
"Three and Four Family",7,27,2364000,7,27,2364000
"Five or More Family",0,0,0,0,0,0
"Total",308,328,52000015,308,328,52000015
Source: U.S. Census Bureau
