Building Permits
2009 Building Permits
Monthly New Privately-Owned Residential Building Permits
York County, Virginia (York County -  667000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",166,166,28345134,166,166,28345134
"Two Family",0,0,0,0,0,0
"Three and Four Family",0,0,0,0,0,0
"Five or More Family",6,96,6700689,6,96,6700689
"Total",172,262,35045823,172,262,35045823
Source: U.S. Census Bureau
