Building Permits
1998 Building Permits
Monthly New Privately-Owned Residential Building Permits
York County, Virginia (York County -  667000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",508,508,47748839,508,508,47748839
"Two Family",1,2,105000,1,2,105000
"Three and Four Family",0,0,0,0,0,0
"Five or More Family",3,23,2031000,3,23,2031000
"Total",512,533,49884839,,,
Source: U.S. Census Bureau
