Building Permits
2004 Building Permits
Monthly New Privately-Owned Residential Building Permits
York County, Virginia (York County -  667000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",438,438,73474329,438,438,73474329
"Two Family",0,0,0,0,0,0
"Three and Four Family",9,36,2202000,9,36,2202000
"Five or More Family",0,0,0,0,0,0
"Total",447,474,75676329,447,474,75676329
Source: U.S. Census Bureau
