Building Permits
2000 Building Permits
Monthly New Privately-Owned Residential Building Permits
York County, Virginia (York County -  667000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",643,643,71249646,643,643,71249646
"Two Family",2,4,116000,2,4,116000
"Three and Four Family",1,4,417000,1,4,417000
"Five or More Family",11,132,5360000,11,132,5360000
"Total",657,783,77142646,657,783,77142646
Source: U.S. Census Bureau
