Building Permits
1997 Building Permits
Monthly New Privately-Owned Residential Building Permits
York County, Virginia (York County -  667000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",428,428,44630045,428,428,44630045
"Two Family",3,6,300000,3,6,300000
"Three and Four Family",0,0,0,0,0,0
"Five or More Family",3,27,3320000,3,27,3320000
"Total",434,461,48250045,,,
Source: U.S. Census Bureau
