Building Permits
2002 Building Permits
Monthly New Privately-Owned Residential Building Permits
York County, Virginia (York County -  667000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",466,466,68791318,466,466,68791318
"Two Family",6,12,592000,6,12,592000
"Three and Four Family",0,0,0,0,0,0
"Five or More Family",34,312,13620000,34,312,13620000
"Total",506,790,83003318,506,790,83003318
Source: U.S. Census Bureau
