Name: “Table 1 of 1 on page 32 of 124”,Name: “Table 1 of 1 on page 32 of 124”,Name: “Table 1 of 1 on page 32 of 124”,Name: “Table 1 of 1 on page 32 of 124”,Name: “Table 1 of 1 on page 32 of 124”,Name: “Table 1 of 1 on page 32 of 124”,Name: “Table 1 of 1 on page 32 of 124”
Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24
,,,,,,
CAPITAL IMPROVEMENT PLAN ~ Expenditure Category,CAPITAL IMPROVEMENT PLAN ~ Expenditure Category,CAPITAL IMPROVEMENT PLAN ~ Expenditure Category,CAPITAL IMPROVEMENT PLAN ~ Expenditure Category,,,
Fiscal Years 2011 ~ 2015,Fiscal Years 2011 ~ 2015,Fiscal Years 2011 ~ 2015,,,,
Expenditures by Project Category,FY11,FY12,FY13,FY14,FY15,TOTAL
9. Public Safety,,,,,,
Pre-Wiring of Critical Facilities for Generator Service,"100,000","100,000",0,0,0,"200,000"
Radio System Lease Purchase,"1,864,289",0,0,0,0,"1,864,289"
Relocation of EOC/911/311 Facility,"500,000","4,572,970",0,0,0,"5,072,970"
Rifles and Night Vision Scopes,0,0,"445,000",0,0,"445,000"
Total Public Safety:,"2,464,289","4,672,970","445,000",0,0,"7,582,259"
10. Streets and Infrastructure,,,,,,
Armistead Avenue Signal Timing Phase I,"45,000",0,0,0,0,"45,000"
Armistead Avenue Signal Timing Phase II,"32,000",0,0,0,0,"32,000"
Big Bethel Road/Burton Street Intersection Improv.,"189,000",0,0,0,0,"189,000"
Big Bethel Road Signal Timing,"45,000",0,0,0,0,"45,000"
Fox Hill Road Signal Timing,"18,000",0,0,0,0,"18,000"
Hampton Electric Automated Transit (HEAT),"1,085,572",0,0,0,0,"1,085,572"
Kecoughtan Road/Powhatan Parkway Intersection Improv.,"211,000",0,0,0,0,"211,000"
King Street/Old Fox Hill Intersection Improv.,"170,000",0,0,0,0,"170,000"
LaSalle Avenue/Tidemill Lane Intersection Improv.,"250,000",0,0,0,0,"250,000"
LaSalle Avenue/Victoria Boulevard Intersection Improv.,"200,000",0,0,0,0,"200,000"
Mercury Boulevard/Mallory Street Intersection Improv.,"198,000",0,0,0,0,"198,000"
Mercury Boulevard Signal Timing,"33,000",0,0,0,0,"33,000"
Pembroke Avenue Signal Timing,"33,000",0,0,0,0,"33,000"
Street Resurfacing Program,"4,035,000","4,035,000","4,035,000","4,035,000","4,035,000","20,175,000"
Todds Lane/Farmington Blvd./Orcutt Ave. Intersection Improv.,"166,000",0,0,0,0,"166,000"
Todds Lane Signal Timing,"41,000",0,0,0,0,"41,000"
Todds Lane/Whealton Road Intersection Improv.,"157,000",0,0,0,0,"157,000"
Todds Lane/Winchester Drive Intersection Improv.,"157,000",0,0,0,0,"157,000"
Total Streets and Infrastructure:,"7,065,572","4,035,000","4,035,000","4,035,000","4,035,000","23,205,572"
GRAND TOTAL ~ Expenditures,"$55,411,465","$35,389,574","$24,314,232","$22,116,604","$23,316,604","$160,548,479"
