Name: “Table 1 of 1 on page 101 of 124”,Name: “Table 1 of 1 on page 101 of 124”,Name: “Table 1 of 1 on page 101 of 124”,Name: “Table 1 of 1 on page 101 of 124”,Name: “Table 1 of 1 on page 101 of 124”,Name: “Table 1 of 1 on page 101 of 124”,Name: “Table 1 of 1 on page 101 of 124”,Name: “Table 1 of 1 on page 101 of 124”,Name: “Table 1 of 1 on page 101 of 124”
Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93
,,,,,,,,
,,Capital Improvement Plan,,,,,,
,,,Contingency List,,,,,
,,,,,,,,TOTAL
PROJECT,DEPARTMENT,DESCRIPTION,FY11,FY12,FY13,FY14,FY15,
,,,,,,,,REQUEST
CATEGORY: Master Plans (Cont'd),CATEGORY: Master Plans (Cont'd),,,,,,,
,,Implement activities associated with the Kecoughtan Road,,,,,,
,,Corridor Master Plan such as establishing a triangular space,,,,,,
Landmark/Monument Park at,,,,,,,,
,Planning,at the intersection of Sunset Road and Southampton Avenue.,0,0,0,"100,000",0,"100,000"
Southampton,,,,,,,,
,,"A small park space, monument or some other landmark form",,,,,,
,,would be established in the center.,,,,,,
,,Implement activities associated with the Kecoughtan Road,,,,,,
LaSalle Gateway: Victoria to,,Corridor Master Plan such as generating an upgraded,,,,,,
,Planning,,"750,000",0,0,0,0,"750,000"
Chesapeake Avenue,,LaSalle Avenue right-of-way which will better suit the,,,,,,
,,residential area.,,,,,,
,,The purpose of this project is to make streetscape,,,,,,
Mallory Streetscape,,,,,,,,
,Planning,improvements along Mallory Street in keeping with those near,0,0,"200,000","300,000",0,"500,000"
Improvements,,,,,,,,
,,the 1-64 interchange.,,,,,,
,,Extend Medical Drive south from Marcella Road to,,,,,,
Medical Drive Extension,Planning,Cunningham Drive along the western property boundary of,0,0,0,0,"720,000","720,000"
,,Eaton Middle School.,,,,,,
Newmarket Creek Park and,Planning/ Economic,Create plazas on Coliseum Lake as focal points to,,,,,,
,,,"3,825,000",0,0,0,0,"3,825,000"
Trail System - Phase II,Development,commercial development both east and west of the Coliseum.,,,,,,
,,Streetscape project along N. King Street from Little Back,,,,,,
,,"River Road north to the Langley Gate, including road and",,,,,,
North King Street Streetscape,Planning,,0,"1,500,000","1,500,000",0,0,"3,000,000"
,,"traffic upgrades, bike lanes, multi-purpose trail, lighting and",,,,,,
,,landscaping.,,,,,,
Opportunity/Incentive Funds-,Economic,Opportunity/incentive funds for future development in,,,,,,
,,,"2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","10,000,000"
Coliseum Central,Development,Coliseum Central.,,,,,,
,,Implement activities of the Kecoughtan Road Corridor Master,,,,,,
,,Plan such as streetscape improvements to further Powhatan,,,,,,
Powhatan Parkway as a,,,,,,,,
,Planning,Parkway south of Victoria Boulevard as a residential,0,0,0,"600,000",0,"600,000"
Boulevard Street,,,,,,,,
,,boulevard and an entry feature at Powhatan Parkway and,,,,,,
,,Victoria Boulevard.,,,,,,
Redevelop Goodyear Site on,Economic,"Anticipated funds needed for land acquisition, infrastructure",,,,,,
,,,0,0,"2,200,000",0,0,"2,200,000"
Wine Street,Development,and commercial/retail incentives.,,,,,,
Relocation of Blue Bird Gap,Conventions &,Relocate Blue Bird Gap Farm to enable new economic,,,,,,
,,,0,0,0,0,"5,050,000","5,050,000"
Farm,Visitors Bureau,development for revenue producing venture.,,,,,,
