Name: “Table 1 of 1 on page 34 of 124”,Name: “Table 1 of 1 on page 34 of 124”,Name: “Table 1 of 1 on page 34 of 124”,Name: “Table 1 of 1 on page 34 of 124”,Name: “Table 1 of 1 on page 34 of 124”,Name: “Table 1 of 1 on page 34 of 124”
Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26
,,,,,
,Capital Improvement Plan,Capital Improvement Plan,Capital Improvement Plan,,
,FY 2011 Impact on Operating Budget,FY 2011 Impact on Operating Budget,FY 2011 Impact on Operating Budget,,
,,Operating Budget Impact,Operating Budget Impact,,
,Total,Personal,Operating,Capital,
Project Category/Project,Cost,Services,Expenses,Outlay,Comments (if applicable)
Public Safety,,,,,
Pre-Wiring of Critical Facilities for Generator Service,"100,000","4,796",0,0,Monitoring job sites for pre-wiring project.
Radio System Lease Purchase,"1,864,289",0,0,0,No impact on operating budget.
Relocate E-911/311/EOC,"500,000",0,0,0,No impact on operating budget.
Streets and Infrastructure (Cont'd),,,,,
Armistead Avenue Signal Timing Phase I,"45,000",0,0,0,No impact on operating budget.
Armistead Avenue Signal Timing Phase II,"32,000",0,0,0,No impact on operating budget.
Big Bethel Road/Burton Street Intersection Improv.,"189,000",0,0,0,No impact on operating budget.
Big Bethel Road Signal Timing,"45,000",0,0,0,No impact on operating budget.
Fox Hill Road Signal Timing,"18,000",0,0,0,No impact on operating budget.
Hampton Electric Automated Transit (HEAT),"1,085,572",0,0,0,No impact on operating budget.
,,,,,Electrical cost of additional traffic signal to be added
,"211,000",0,600,0,
Kecoughtan Road/Powhatan Parkway Intersection Improv.,,,,,as part of project.
King Street/Old Fox Hill Intersection Improv.,"170,000",0,0,0,No impact on operating budget.
LaSalle Avenue/Tidemill Lane Intersection Improv.,"250,000",0,0,0,No impact on operating budget.
LaSalle Avenue/Victoria Boulevard Intersection Improv.,"200,000",0,0,0,No impact on operating budget.
Mercury Boulevard/Mallory Street Intersection Improv.,"198,000",0,0,0,No impact on operating budget.
Mercury Boulevard Signal Timing,"33,000",0,0,0,No impact on operating budget.
Pembroke Avenue Signal Timing,"33,000",0,0,0,No impact on operating budget.
Street Resurfacing,"4,035,000",0,0,0,No impact on operating budget.
Todds Ln./Farmington Blvd./Orcutt Ave. Intersection Improv,"166,000",0,0,0,No impact on operating budget.
