Hampton Division  Active Fleet,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#5   MOTORBUS (DIRECTLY OPERATED),,,,,,,,,,,,,,,,,,,,,,,,,
UNIT,YEAR,MAKE,MODEL,TYPE,FLOOR,LENGTH,AIR COND,SEAT / STAND,LIFT/RAMP,FARE BOX,VIDEO,ACS,APC,BIKE RACK,VIN,LICENSE,"ACCEPTANCE
DATE","PURCHASE
PRICE","FTA
LIFE EXPECTANCY
in years","ANNUAL
STRAIGHT
LINE DEPRECIATION","CURRENT
VALUE",TIRE SIZE,ENG,TRANS,GVWR
1201,1999,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +55,Ramp,Odyssey,Yes,Yes,No,Yes,15GGB1816X1070607,126-222L,2/18/1999,"$238,799",12,"$19,733","$2,000",12R 22.5,Cummins ISC,Voith D864.3,"39,600"
1202,1999,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +55,Ramp,Odyssey,Yes,Yes,No,Yes,15GGB1818X1070608,126-223L,5/10/1999,"$238,799",12,"$19,733","$2,000",12R 22.5,Cummins ISC,Voith D864.3,"39,600"
1204,1999,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +55,Ramp,Odyssey,Yes,Yes,Yes,Yes,15GGB1816X1070610,126-225L,5/13/1999,"$238,799",12,"$19,733","$2,000",12R 22.5,Cummins ISC,Voith D864.3,"39,600"
1205,1999,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +55,Ramp,Odyssey,Yes,Yes,No,Yes,15GGB1818X1070611,126-226L,5/12/1999,"$238,799",12,"$19,733","$2,000",12R 22.5,Cummins ISC,Voith D864.3,"39,600"
1206,1999,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +55,Ramp,Odyssey,Yes,Yes,No,Yes,15GGB181XX1070612,126-227L,5/13/1999,"$238,799",12,"$19,733","$2,000",12R 22.5,Cummins ISC,Voith D864.3,"39,600"
1207,1999,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +55,Ramp,Odyssey,Yes,Yes,No,Yes,15GGB1811X1070613,126-228L,5/13/1999,"$238,799",12,"$19,733","$2,000",12R 22.5,Cummins ISC,Voith D864.3,"39,600"
1208,1999,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +55,Ramp,Odyssey,Yes,Yes,No,Yes,15GGB1813X1070614,126-229L,5/17/1999,"$238,799",12,"$19,733","$2,000",12R 22.5,Cummins ISC,Voith D864.3,"39,600"
1209,1999,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +55,Ramp,Odyssey,Yes,Yes,No,Yes,15GGB1815X1070615,126-230L,5/20/1999,"$238,799",12,"$19,733","$2,000",12R 22.5,Cummins ISC,Voith D864.3,"39,600"
1210,1999,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +55,Ramp,Odyssey,Yes,Yes,No,Yes,15GGB1817X1070616,126-241L,5/20/1999,"$238,799",12,"$19,733","$2,000",12R 22.5,Cummins ISC,Voith D864.3,"39,600"
1211,1999,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +55,Ramp,Odyssey,Yes,Yes,No,Yes,15GGB1819X1070617,126-283L,5/20/1999,"$238,799",12,"$19,733","$2,000",12R 22.5,Cummins ISC,Voith D864.3,"39,600"
1213,1999,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +55,Ramp,Odyssey,Yes,Yes,No,Yes,15GGB1812X1070619,126-285L,5/24/1999,"$238,799",12,"$19,733","$2,000",12R 22.5,Cummins ISC,Voith D864.3,"39,600"
1214,1999,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +55,Ramp,Odyssey,Yes,Yes,No,Yes,15GGB1819X1070620,126-286L,5/26/1999,"$238,799",12,"$19,733","$2,000",12R 22.5,Cummins ISC,Voith D864.3,"39,600"
1215,1999,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +55,Ramp,Odyssey,Yes,Yes,No,Yes,15GGB1810X1070621,126-287L,5/26/1999,"$238,799",12,"$19,733","$2,000",12R 22.5,Cummins ISC,Voith D864.3,"39,600"
1216,1999,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +55,Ramp,Odyssey,Yes,Yes,No,Yes,15GGB1812X1070622,126-288L,6/1/1999,"$238,799",12,"$19,733","$2,000",12R 22.5,Cummins ISC,Voith D864.3,"39,600"
1217,1999,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +55,Ramp,Odyssey,Yes,Yes,No,Yes,15GGB1814X1070623,126-289L,5/26/1999,"$238,799",12,"$19,733","$2,000",12R 22.5,Cummins ISC,Voith D864.3,"39,600"
1218,1999,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +55,Ramp,Odyssey,Yes,Yes,No,Yes,15GGB1816X1070624,126-290L,5/26/1999,"$238,799",12,"$19,733","$2,000",12R 22.5,Cummins ISC,Voith D864.3,"39,600"
1219,1999,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +55,Ramp,Odyssey,Yes,Yes,No,Yes,15GGB1818X1070625,126-291L,6/1/1999,"$238,799",12,"$19,733","$2,000",12R 22.5,Cummins ISC,Voith D864.3,"39,600"
1220,1999,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +55,Ramp,Odyssey,Yes,Yes,No,Yes,15GGB1818X1070633,126-292L,5/28/1999,"$238,799",12,"$19,733","$2,000",12R 22.5,Cummins ISC,Voith D864.3,"39,600"
1221,1999,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +55,Ramp,Odyssey,Yes,Yes,No,Yes,15GGB1819X1070634,128-478L,5/28/1999,"$238,799",12,"$19,733","$2,000",12R 22.5,Cummins ISC,Voith D864.3,"39,600"
