Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”,Name: “Table 1 of 1 on page 63 of 74”
Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63
,,,,,,,,,
,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,
,,,,2004/2005 BUDGET,2004/2005 BUDGET,,,,
SITE ACQUISITION I PURCHASE SERVICES,SITE ACQUISITION I PURCHASE SERVICES,1.0.90.0.66100 .....,1.0.90.0.66100 .....,,,,,,PAGE 51
CODE,BUDGET FUNCTION,,2002/2003,,2003/2004,,2004/2005,+INCREASE,
,,,ACTUAL,,APPROPRIATED,,PROJECTED,(·DECREASE),%
3000,PURCHASE SERVIC ES,$,"10,214",$,"10,550",$,"10,550",$,0.0%
,TOTAL,$,"10,214",$,"10,550",$,"10,550",$,0.0%
BUDGET 2004-2005 FINAL 6-9-04.xls,BUDGET 2004-2005 FINAL 6-9-04.xls,,,,,,,,
