Name: “Table 1 of 1 on page 110 of 166”,Name: “Table 1 of 1 on page 110 of 166”,Name: “Table 1 of 1 on page 110 of 166”,Name: “Table 1 of 1 on page 110 of 166”,Name: “Table 1 of 1 on page 110 of 166”,Name: “Table 1 of 1 on page 110 of 166”,Name: “Table 1 of 1 on page 110 of 166”,Name: “Table 1 of 1 on page 110 of 166”,Name: “Table 1 of 1 on page 110 of 166”,Name: “Table 1 of 1 on page 110 of 166”,Name: “Table 1 of 1 on page 110 of 166”,Name: “Table 1 of 1 on page 110 of 166”
Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110
,,,,,,,,,,,
,,,,CAPITAL PROJECT DETAIL,CAPITAL PROJECT DETAIL,CAPITAL PROJECT DETAIL,,,,,
SCHOOLS,,School,,,,,,,,,
CAPITAL MAINTENANCE,,Rank,FY 2012,,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,,TOTAL
Lafayette High School Structural Repair,**,I,"$ 480,000",,,,,,,$,"480,000"
Division Back Flow Preventers,,I,"50,000",$,"50,000",,,,,,"100,000"
Toano Middle School HVAC,,II,,,"5,225,000",,,,,,"5,225,000"
Lafayette High School Exterior Painting,,II,"175,000",,,,,,,,"175,000"
Lafayette High School Refurbishment,,II,,,,"$ 1,458,000","$ 1,500,000",,,,"2,958,000"
Toano Middle School Roof,,II,,,,,"888,000",,,,"888,000"
Division HVAC Energy Management Systems,Division HVAC Energy Management Systems,II,"88,000",,,,,,,,"88,000"
Division Operations Center HVAC,,II,,,"876,000",,,,,,"876,000"
Division Gym/Garage Lighting,,II,"50,000",,"50,000","50,000",,,,,"150,000"
James River Elem School HVAC,,II,,,"5,029,000",,,,,,"5,029,000"
James River Elem School Roof,,II,,,,,"579,000",,,,"579,000"
Jamestown High School Refurbishment,,II,,,,,,"$ 3,052,000",,,"3,052,000"
Division Ops Center Fuel Pumps & Canopy,Division Ops Center Fuel Pumps & Canopy,II,,,,,"70,000",,,,"70,000"
Lafayette High School HVAC,,II,,,"9,889,000",,,,,,"9,889,000"
Lafayette High School Refurbish Practice Field,Lafayette High School Refurbish Practice Field,II,,,,"167,000",,,,,"167,000"
James River Elem School Refurbishment,James River Elem School Refurbishment,II,,,,,,,"$1,408,000",,"1,408,000"
Toano Middle School Parking Lot,,II,,,,,,"322,000",,,"322,000"
Stonehouse Elem School Refurbishment,,II,,,,,,,"1,580,000",,"1,580,000"
Clara Byrd Baker Elem School Roof,,II,,,,,,"74,000",,,"74,000"
Toano Middle School Refurbishment,,II,,,,,,,"1,615,000",,"1,615,000"
Stonehouse Elem School Bus Loop Canopy,Stonehouse Elem School Bus Loop Canopy,II,,,,,,,"250,000",,"250,000"
Mathew Whaley Elem School Chiller,,II,,,,,,,"200,000",,"200,000"
Rawls Byrd Elem School Gym HVAC,,II,,,,,,,"200,000",,"200,000"
Division Resurface Parking Lots,,III,"93,000",,"90,000","90,000","90,000","139,000",,,"502,000"
**,Funded from FY 2011 capital balances,,"(480,000)",,,,,,,,"(480,000)"
Funded by City,,,"(41,000)",,"(1,909,000)","(159,000)","(281,000)","(323,000)","(473,000)",,"(3,186,000)"
,,,"$ 415,000","$ 19,300,000","$ 19,300,000","$ 1,606,000","$ 2,846,000","$ 3,264,000","$4,780,000","$ 32,211,000","$ 32,211,000"
,,,,,Page D-6,,,,,,
