Name: “Table 1 of 1 on page 108 of 156”,Name: “Table 1 of 1 on page 108 of 156”,Name: “Table 1 of 1 on page 108 of 156”,Name: “Table 1 of 1 on page 108 of 156”,Name: “Table 1 of 1 on page 108 of 156”,Name: “Table 1 of 1 on page 108 of 156”,Name: “Table 1 of 1 on page 108 of 156”,Name: “Table 1 of 1 on page 108 of 156”,Name: “Table 1 of 1 on page 108 of 156”,Name: “Table 1 of 1 on page 108 of 156”,Name: “Table 1 of 1 on page 108 of 156”
Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108
,,,,,,,,,,
,,,CAPITAL PROJECT DETAIL,CAPITAL PROJECT DETAIL,CAPITAL PROJECT DETAIL,CAPITAL PROJECT DETAIL,CAPITAL PROJECT DETAIL,,,
PROJECTED OPERATING COSTS,,,,,,,,,,
,,,,,,,,,,INCREASE IN
,,FIVE YEAR,FIVE YEAR,PROJECTED,PROJECTED,,,,,ANNUAL
,,CAPITAL,CAPITAL,OPENING,OPENING,,,,,OPERATING
,,INVESTMENT,INVESTMENT,DATE,DATE,,,,,COSTS
SCHOOLS,,,,,,,,,,
Capital Maintenance/Replacement Projects,,"$ 48,924,525","$ 48,924,525",various,various,"Utility, custodial, insurance, maintenance","Utility, custodial, insurance, maintenance","Utility, custodial, insurance, maintenance","Utility, custodial, insurance, maintenance",Projected savings*
Jamestown HS Multi-Purpose Space,(Note A),"2,489,000","2,489,000",Aug 11,Aug 11,"Utility, custodial, insurance, maintenance","Utility, custodial, insurance, maintenance","Utility, custodial, insurance, maintenance","Utility, custodial, insurance, maintenance","48,000"
Warhill Sports Complex Baseball,,"1,675,000","1,675,000",Apr 14,Apr 14,Maintenance,Maintenance,,,"20,000"
Freedom Park Trail,,"770,000","770,000",Jun 13,Jun 13,Maintenance,Maintenance,,,"6,000"
Jamestown HS Field Lights,,"556,540","556,540",Apr 14,Apr 14,"Utilities, maintenance","Utilities, maintenance","Utilities, maintenance",,"16,000"
Stonehouse Elementary School Field Lights,,"350,000","350,000",Apr 15,Apr 15,"Utilities, maintenance","Utilities, maintenance","Utilities, maintenance",,"12,000"
Shaping Our Shores Master Plan,,"245,000","245,000",Apr 15,Apr 15,N/A,N/A,,,-
Warhill Sports Complex Basketball,,"189,000","189,000",Apr 15,Apr 15,Maintenance,Maintenance,,,"4,000"
Berkeley Middle Softball Field Improvements,Berkeley Middle Softball Field Improvements,"182,400","182,400",Apr 11,Apr 11,Maintenance,Maintenance,,,"4,000"
,,FY 2011,FY 2011,FY 2012,FY 2012,FY 2013,FY 2013,FY 2014,FY 2015,
Increase in Operating Costs,,$,"1,000",$,"40,000",$,"52,000","$67,000","$98,000",
"* No estimate is currently available for the savings generated by replacements, refurbishments and other capital maintenance improvements.","* No estimate is currently available for the savings generated by replacements, refurbishments and other capital maintenance improvements.","* No estimate is currently available for the savings generated by replacements, refurbishments and other capital maintenance improvements.","* No estimate is currently available for the savings generated by replacements, refurbishments and other capital maintenance improvements.","* No estimate is currently available for the savings generated by replacements, refurbishments and other capital maintenance improvements.","* No estimate is currently available for the savings generated by replacements, refurbishments and other capital maintenance improvements.","* No estimate is currently available for the savings generated by replacements, refurbishments and other capital maintenance improvements.","* No estimate is currently available for the savings generated by replacements, refurbishments and other capital maintenance improvements.","* No estimate is currently available for the savings generated by replacements, refurbishments and other capital maintenance improvements.","* No estimate is currently available for the savings generated by replacements, refurbishments and other capital maintenance improvements.",
"Current estimates indicate that the increase in operating costs for new capital investments, shown above, would be totally offset by reduced maintenance and","Current estimates indicate that the increase in operating costs for new capital investments, shown above, would be totally offset by reduced maintenance and","Current estimates indicate that the increase in operating costs for new capital investments, shown above, would be totally offset by reduced maintenance and","Current estimates indicate that the increase in operating costs for new capital investments, shown above, would be totally offset by reduced maintenance and","Current estimates indicate that the increase in operating costs for new capital investments, shown above, would be totally offset by reduced maintenance and","Current estimates indicate that the increase in operating costs for new capital investments, shown above, would be totally offset by reduced maintenance and","Current estimates indicate that the increase in operating costs for new capital investments, shown above, would be totally offset by reduced maintenance and","Current estimates indicate that the increase in operating costs for new capital investments, shown above, would be totally offset by reduced maintenance and","Current estimates indicate that the increase in operating costs for new capital investments, shown above, would be totally offset by reduced maintenance and","Current estimates indicate that the increase in operating costs for new capital investments, shown above, would be totally offset by reduced maintenance and","Current estimates indicate that the increase in operating costs for new capital investments, shown above, would be totally offset by reduced maintenance and"
utility costs generated by the capital maintenance investments.,utility costs generated by the capital maintenance investments.,utility costs generated by the capital maintenance investments.,utility costs generated by the capital maintenance investments.,,,,,,,
"Note A - Appropriated in FY 2010, borrowing anticipated in FY 2011.","Note A - Appropriated in FY 2010, borrowing anticipated in FY 2011.","Note A - Appropriated in FY 2010, borrowing anticipated in FY 2011.",,,,,,,,
,,,,Page D-8,Page D-8,,,,,
