Name: “Table 1 of 1 on page 20 of 32”,Name: “Table 1 of 1 on page 20 of 32”,Name: “Table 1 of 1 on page 20 of 32”,Name: “Table 1 of 1 on page 20 of 32”,Name: “Table 1 of 1 on page 20 of 32”,Name: “Table 1 of 1 on page 20 of 32”,Name: “Table 1 of 1 on page 20 of 32”
Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20
,,,,,,
Long-Term Goal(s),Long-Term Goal(s),,,,,
•,Increase access to city services and information,Increase access to city services and information,,,,
•,Increase accessibility to lifelong learning,,,,,
•,"Enhance the vitality and aesthetic beauty of Norfolk's neighborhoods, roadway medians, parks, public grounds,","Enhance the vitality and aesthetic beauty of Norfolk's neighborhoods, roadway medians, parks, public grounds,","Enhance the vitality and aesthetic beauty of Norfolk's neighborhoods, roadway medians, parks, public grounds,","Enhance the vitality and aesthetic beauty of Norfolk's neighborhoods, roadway medians, parks, public grounds,","Enhance the vitality and aesthetic beauty of Norfolk's neighborhoods, roadway medians, parks, public grounds,","Enhance the vitality and aesthetic beauty of Norfolk's neighborhoods, roadway medians, parks, public grounds,"
,and tree canopy,,,,,
•,Diversify and strengthen Norfolk's economic base,Diversify and strengthen Norfolk's economic base,,,,
,,Priority: Economic Vitality and Workforce Development,Priority: Economic Vitality and Workforce Development,Priority: Economic Vitality and Workforce Development,,
Goal,Goal,,,,,
Diversify and strengthen Norfolk's economic base,Diversify and strengthen Norfolk's economic base,Diversify and strengthen Norfolk's economic base,,,,
Objective,Objective,,,,,
"Expand, attract, and retain businesses within Norfolk","Expand, attract, and retain businesses within Norfolk","Expand, attract, and retain businesses within Norfolk",,,,
,,FY 2011,FY 2012,FY 2013,FY 2014,
Measure,Measure,,,,,Change
,,Actual,Actual,Approved,Approved,
Maintain number of funerals provided by,Maintain number of funerals provided by,,,,,
being the cemetery of choice for Norfolk,being the cemetery of choice for Norfolk,845,795,842,778,-64
residents,residents,,,,,
,,"Priority: Safe, Healthy and Inclusive Communities","Priority: Safe, Healthy and Inclusive Communities","Priority: Safe, Healthy and Inclusive Communities",,
Goal,Goal,,,,,
"Enhance the vitality and aesthetic beauty of Norfolk's neighborhoods, roadway medians, parks, public grounds,","Enhance the vitality and aesthetic beauty of Norfolk's neighborhoods, roadway medians, parks, public grounds,","Enhance the vitality and aesthetic beauty of Norfolk's neighborhoods, roadway medians, parks, public grounds,","Enhance the vitality and aesthetic beauty of Norfolk's neighborhoods, roadway medians, parks, public grounds,","Enhance the vitality and aesthetic beauty of Norfolk's neighborhoods, roadway medians, parks, public grounds,","Enhance the vitality and aesthetic beauty of Norfolk's neighborhoods, roadway medians, parks, public grounds,",
and tree canopy,and tree canopy,,,,,
Objective,Objective,,,,,
Maintain city cemeteries on a 12 to 14 working day or less mowing cycle,Maintain city cemeteries on a 12 to 14 working day or less mowing cycle,Maintain city cemeteries on a 12 to 14 working day or less mowing cycle,Maintain city cemeteries on a 12 to 14 working day or less mowing cycle,,,
,,FY 2011,FY 2012,FY 2013,FY 2014,
Measure,Measure,,,,,Change
,,Actual,Actual,Approved,Approved,
Increase percent of cemetery grounds,Increase percent of cemetery grounds,,,,,
mowed on a 12 to 14 working days or less,mowed on a 12 to 14 working days or less,60,75,75,80,5
cycle,cycle,,,,,
,,Priority: Lifelong Learning,Priority: Lifelong Learning,,,
Goal,Goal,,,,,
Increase accessibility to lifelong learning,Increase accessibility to lifelong learning,,,,,
Objective,Objective,,,,,
Enhance awareness among residents of the history of Norfolk's cemeteries while raising funds for cemetery,Enhance awareness among residents of the history of Norfolk's cemeteries while raising funds for cemetery,Enhance awareness among residents of the history of Norfolk's cemeteries while raising funds for cemetery,Enhance awareness among residents of the history of Norfolk's cemeteries while raising funds for cemetery,Enhance awareness among residents of the history of Norfolk's cemeteries while raising funds for cemetery,Enhance awareness among residents of the history of Norfolk's cemeteries while raising funds for cemetery,
restoration,restoration,,,,,
,,FY 2011,FY 2012,FY 2013,FY 2014,
Measure,Measure,,,,,Change
,,Actual,Actual,Approved,Approved,
Maintain number of educational sessions,Maintain number of educational sessions,,,,,
held to inform citizens of the history of,held to inform citizens of the history of,47,51,30,51,21
Norfolk's cemeteries,Norfolk's cemeteries,,,,,
384,Cemeteries,,,,,
