Name: “Table 1 of 1 on page 89 of 157”,Name: “Table 1 of 1 on page 89 of 157”,Name: “Table 1 of 1 on page 89 of 157”,Name: “Table 1 of 1 on page 89 of 157”,Name: “Table 1 of 1 on page 89 of 157”,Name: “Table 1 of 1 on page 89 of 157”,Name: “Table 1 of 1 on page 89 of 157”,Name: “Table 1 of 1 on page 89 of 157”,Name: “Table 1 of 1 on page 89 of 157”,Name: “Table 1 of 1 on page 89 of 157”,Name: “Table 1 of 1 on page 89 of 157”
Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87
,,,,,,,,,,
,Trend of Student Population,Trend of Student Population,Trend of Student Population,Trend of Student Population,Trend of Student Population,Trend of Student Population,Trend of Student Population,Trend of Student Population,Trend of Student Population,
6000,,,,,,,,,,
,,,,,,,,5265,5270,5270
,,,,,,,5145,,,
4862,4894,4945,4945,4983,5033,,,,,
4000,,,,,,,,,,
3000,,,,,,,,,,ADM
2000,,,,,,,,,,
1000,,,,,,,,,,
0,,,,,,,,,,
00,01,02,03,04,05,,06,07,08,09
FY,FY,FY,FY,FY,FY,FY,,FY,FY,FY
SOURCE:,IOW School Board 2008-09 Adopted Budget Document.,IOW School Board 2008-09 Adopted Budget Document.,IOW School Board 2008-09 Adopted Budget Document.,IOW School Board 2008-09 Adopted Budget Document.,IOW School Board 2008-09 Adopted Budget Document.,IOW School Board 2008-09 Adopted Budget Document.,Growth percentage ranges between 0% and 3%,Growth percentage ranges between 0% and 3%,Growth percentage ranges between 0% and 3%,
for the years noted with FY 08’ growth anticipated at 1.9%.,for the years noted with FY 08’ growth anticipated at 1.9%.,for the years noted with FY 08’ growth anticipated at 1.9%.,for the years noted with FY 08’ growth anticipated at 1.9%.,for the years noted with FY 08’ growth anticipated at 1.9%.,for the years noted with FY 08’ growth anticipated at 1.9%.,,,,,
,,,,,,,,,,Page 83
