"Port of Virginia",,,,,,,,,
"Container Units",,,,,,,,,
,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Jan",88850,96957,94942,98520,79674,81812,91527,88749,90900
"Feb",83646,93109,91800,98133,75595,87394,87615,89577,96404
"Mar",94824,98406,106596,97471,77422,94509,91506,96351,102564
"Apr",95753,94849,97866,106400,81724,83985,92967,97200,102986
"May",97950,99855,99183,101272,80408,92296,91640,102987,110920
"Jun",91674,96947,95876,93561,79844,92382,88007,97346,101391
"Jul",96286,92962,99822,100001,81041,88575,96557,104430,117769
"Aug",100555,102794,111117,106580,85649,99536,87048,109136,114230
"Sep",97976,95490,101921,102446,89359,88141,93794,104275,105464
"Oct",108157,108964,113921,108694,90175,99933,98656,100478,117704
"Nov",102831,98601,107948,99670,87430,93033,93552,113288,
"Dec",93750,98694,100599,88111,84222,79140,89182,106005,
"Total",1152252,1177628,1221591,1200859,992543,1080736,1102051,1209822,1060332
,,,,,,,,,
"% Change",10.0811097417672%,2.20229602552219%,3.73318229525792%,-1.69713103649257%,-17.3472489276426%,8.88555961807196%,1.97226704764161%,9.77913000396533%,7.04704253989535%
