Name: “Table 1 of 1 on page 142 of 212”,Name: “Table 1 of 1 on page 142 of 212”,Name: “Table 1 of 1 on page 142 of 212”,Name: “Table 1 of 1 on page 142 of 212”,Name: “Table 1 of 1 on page 142 of 212”,Name: “Table 1 of 1 on page 142 of 212”,Name: “Table 1 of 1 on page 142 of 212”
Table: 142,Table: 142,Table: 142,Table: 142,Table: 142,Table: 142,Table: 142
,,,,,,
Department Goals and Measures,Department Goals and Measures,Department Goals and Measures,,,,
,,Strategic Priority: Community Building,Strategic Priority: Community Building,Strategic Priority: Community Building,,
Goal,Goal,,,,,
"To provide increases in the scope, quantity, and diversity of library materials available throughout the","To provide increases in the scope, quantity, and diversity of library materials available throughout the","To provide increases in the scope, quantity, and diversity of library materials available throughout the","To provide increases in the scope, quantity, and diversity of library materials available throughout the","To provide increases in the scope, quantity, and diversity of library materials available throughout the","To provide increases in the scope, quantity, and diversity of library materials available throughout the",
system to meet existing and growing patron demands.,system to meet existing and growing patron demands.,system to meet existing and growing patron demands.,,,,
,,FY 2009,FY 2010,FY 2011,FY 2012,
Measure,Measure,,,,,Change
,,Actual,Actual,Approved,Approved,
Level of circulated materials.,Level of circulated materials.,"1,033,380","996,260","920,000","920,000",0
Number of new items added.,Number of new items added.,"62,852","36,169","36,000","36,000",0
Goal,Goal,,,,,
Provide increased support of computer equipment to maximize the usage of online databases and internet,Provide increased support of computer equipment to maximize the usage of online databases and internet,Provide increased support of computer equipment to maximize the usage of online databases and internet,Provide increased support of computer equipment to maximize the usage of online databases and internet,Provide increased support of computer equipment to maximize the usage of online databases and internet,Provide increased support of computer equipment to maximize the usage of online databases and internet,Provide increased support of computer equipment to maximize the usage of online databases and internet
access.,access.,,,,,
,,FY 2009,FY 2010,FY 2011,FY 2012,
Measure,Measure,,,,,Change
,,Actual,Actual,Approved,Approved,
Annual visits to library's homepage.,Annual visits to library's homepage.,"440,000","442,208","580,000","600,000","20,000"
Hours of in-building computer use.,Hours of in-building computer use.,"467,583","503,315","450,000","450,000",0
Goal,Goal,,,,,
To provide improved service at each library location by upgrading equipment and furnishings.,To provide improved service at each library location by upgrading equipment and furnishings.,To provide improved service at each library location by upgrading equipment and furnishings.,To provide improved service at each library location by upgrading equipment and furnishings.,To provide improved service at each library location by upgrading equipment and furnishings.,To provide improved service at each library location by upgrading equipment and furnishings.,
,,FY 2009,FY 2010,FY 2011,FY 2012,
Measure,Measure,,,,,Change
,,Actual,Actual,Approved,Approved,
Number of library visits.,Number of library visits.,"1,139,650","1,236,791","1,258,000","1,258,000",0
Registered borrowers.,Registered borrowers.,"106,763","113,681","116,000","118,000","2,000"
Reference output.,Reference output.,"920,600","1,055,638","1,100,000","1,100,000",0
Number of programs.,Number of programs.,"2,104","2,650","2,650","2,650",0
Number of groups using meeting rooms.,Number of groups using meeting rooms.,"1,936","2,061","2,100","2,100",0
Goal,Goal,,,,,
To provide an understanding of the importance of reading to children by developing strong partnerships,To provide an understanding of the importance of reading to children by developing strong partnerships,To provide an understanding of the importance of reading to children by developing strong partnerships,To provide an understanding of the importance of reading to children by developing strong partnerships,To provide an understanding of the importance of reading to children by developing strong partnerships,To provide an understanding of the importance of reading to children by developing strong partnerships,
"with community agencies, clubs, organizations, and by conducting programs for children and parents.","with community agencies, clubs, organizations, and by conducting programs for children and parents.","with community agencies, clubs, organizations, and by conducting programs for children and parents.","with community agencies, clubs, organizations, and by conducting programs for children and parents.","with community agencies, clubs, organizations, and by conducting programs for children and parents.","with community agencies, clubs, organizations, and by conducting programs for children and parents.",
,,FY 2009,FY 2010,FY 2011,FY 2012,
Measure,Measure,,,,,Change
,,Actual,Actual,Approved,Approved,
Visits to teachers.,Visits to teachers.,580,580,600,642,42
Visits to classrooms.,Visits to classrooms.,550,550,585,620,35
Book packets given away.,Book packets given away.,"4,680","4,680","4,775","5,181",406
Number of people attending childrens',Number of people attending childrens',,,,,
,,"41,066","47,772","49,000","50,000","1,000"
programs.,programs.,,,,,
206,Libraries,,,,,
