Name: “Table 1 of 1 on page 48 of 56”,Name: “Table 1 of 1 on page 48 of 56”,Name: “Table 1 of 1 on page 48 of 56”,Name: “Table 1 of 1 on page 48 of 56”,Name: “Table 1 of 1 on page 48 of 56”,Name: “Table 1 of 1 on page 48 of 56”,Name: “Table 1 of 1 on page 48 of 56”,Name: “Table 1 of 1 on page 48 of 56”
Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48
,,,,,,,
"City of Chesapeake, Virginia",,,,,,,
FY 2013-14 Operating Budget,,,,,,,
REVENUE BUDGET BY FUND,,,,,,,
Notes: Committed revenues are pledged for use in specific special revenue funds,Notes: Committed revenues are pledged for use in specific special revenue funds,Notes: Committed revenues are pledged for use in specific special revenue funds,Notes: Committed revenues are pledged for use in specific special revenue funds,,,,
GREENBRIER TIF (FUND 209),,FY 2011-12,,FY 2012-13,,FY 2013-14,Change From
Resource Detail,,Actual,,Budget,,Estimated,Prior Year
Local Revenues,,,,,,,
General Property Taxes,$,"4,203,228",$,"3,680,102",$,"4,837,759",31.46%
Use of Money and Property,,"29,693",,0,,0,0.00%
Total Local Revenues,$,"4,232,921",$,"3,680,102",$,"4,837,759",31.46%
Greenbrier TIF Revenues,$,"4,232,921",$,"3,680,102",$,"4,837,759",31.46%
SOUTH NORFOLK TIF (FUND 212),,FY 2011-12,,FY 2012-13,,FY 2013-14,Change From
Resource Detail,,Actual,,Budget,,Estimated,Prior Year
Local Revenues,,,,,,,
General Property Taxes,$,"3,985,671",$,"3,354,120",$,"3,534,645",5.38%
Use of Money and Property,,"28,981",,0,,0,0.00%
Total Local Revenues,$,"4,014,652",$,"3,354,120",$,"3,534,645",5.38%
South Norfolk TIF Revenues,$,"4,014,652",$,"3,354,120",$,"3,534,645",5.38%
OPEN SPACE & AGRICULTURAL,,,,,,,
PRESERVATION - OSAP (FUND 210),,FY 2011-12,,FY 2012-13,,FY 2013-14,Change From
Resource Detail,,Actual,,Budget,,Estimated,Prior Year
Local Revenues,,,,,,,
General Property Taxes,$,"271,284",$,"271,284",$,"271,284",0.00%
OSAP Fund Revenues,$,"271,284",$,"271,284",$,"271,284",0.00%
FY 2013-14 Operating Budget,,82,,,,"As Amended June 12, 2013","As Amended June 12, 2013"
