Name: “Table 1 of 1 on page 154 of 214”,Name: “Table 1 of 1 on page 154 of 214”,Name: “Table 1 of 1 on page 154 of 214”,Name: “Table 1 of 1 on page 154 of 214”,Name: “Table 1 of 1 on page 154 of 214”,Name: “Table 1 of 1 on page 154 of 214”,Name: “Table 1 of 1 on page 154 of 214”
Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154
,,,,,,
•,Increase accessibility to Lifelong Learning,,,,,
,Priority: Economic Vitality and Workforce Development,Priority: Economic Vitality and Workforce Development,Priority: Economic Vitality and Workforce Development,Priority: Economic Vitality and Workforce Development,,
Goal,,,,,,
"Diversify and strengthen entertainment venues and ""cool city"" amenities in Norfolk","Diversify and strengthen entertainment venues and ""cool city"" amenities in Norfolk","Diversify and strengthen entertainment venues and ""cool city"" amenities in Norfolk","Diversify and strengthen entertainment venues and ""cool city"" amenities in Norfolk",,,
Objective,,,,,,
Market cultural experiences available in Norfolk to the region and outside the region in order to increase visitor,Market cultural experiences available in Norfolk to the region and outside the region in order to increase visitor,Market cultural experiences available in Norfolk to the region and outside the region in order to increase visitor,Market cultural experiences available in Norfolk to the region and outside the region in order to increase visitor,Market cultural experiences available in Norfolk to the region and outside the region in order to increase visitor,Market cultural experiences available in Norfolk to the region and outside the region in order to increase visitor,Market cultural experiences available in Norfolk to the region and outside the region in order to increase visitor
attendance,,,,,,
,,FY 2010,FY 2011,FY 2012,FY 2013,
Measure,,,,,,Change
,,Actual,Actual,Approved,Approved,
Increase number of Zoo visitors,Increase number of Zoo visitors,"406,163","505,641","535,979","568,137","32,158"
,,Priority: Lifelong Learning,Priority: Lifelong Learning,,,
Goal,,,,,,
Increase accessibility to Lifelong Learning,Increase accessibility to Lifelong Learning,,,,,
Objective,,,,,,
"Network and identify opportunities for partnership among regional colleges, universities, high schools and","Network and identify opportunities for partnership among regional colleges, universities, high schools and","Network and identify opportunities for partnership among regional colleges, universities, high schools and","Network and identify opportunities for partnership among regional colleges, universities, high schools and","Network and identify opportunities for partnership among regional colleges, universities, high schools and","Network and identify opportunities for partnership among regional colleges, universities, high schools and",
businesses resulting in vocational and technical learning and training opportunities through a comprehensive,businesses resulting in vocational and technical learning and training opportunities through a comprehensive,businesses resulting in vocational and technical learning and training opportunities through a comprehensive,businesses resulting in vocational and technical learning and training opportunities through a comprehensive,businesses resulting in vocational and technical learning and training opportunities through a comprehensive,businesses resulting in vocational and technical learning and training opportunities through a comprehensive,businesses resulting in vocational and technical learning and training opportunities through a comprehensive
intern and volunteer program,intern and volunteer program,,,,,
,,FY 2010,FY 2011,FY 2012,FY 2013,
Measure,,,,,,Change
,,Actual,Actual,Approved,Approved,
Increase number of volunteers,Increase number of volunteers,125,120,150,175,25
,,Priority: Environmental Sustainability,Priority: Environmental Sustainability,,,
Goal,,,,,,
Enhance efficient use and protection of natural resources,Enhance efficient use and protection of natural resources,Enhance efficient use and protection of natural resources,,,,
Objective,,,,,,
"Create a culture of continuing sustainability by implementing programs in support of environmental stewardship,","Create a culture of continuing sustainability by implementing programs in support of environmental stewardship,","Create a culture of continuing sustainability by implementing programs in support of environmental stewardship,","Create a culture of continuing sustainability by implementing programs in support of environmental stewardship,","Create a culture of continuing sustainability by implementing programs in support of environmental stewardship,","Create a culture of continuing sustainability by implementing programs in support of environmental stewardship,","Create a culture of continuing sustainability by implementing programs in support of environmental stewardship,"
including education and outreach programs to increase awareness,including education and outreach programs to increase awareness,including education and outreach programs to increase awareness,,,,
,,FY 2010,FY 2011,FY 2012,FY 2013,
Measure,,,,,,Change
,,Actual,Actual,Approved,Approved,
Increase percentage of improved exhibits,Increase percentage of improved exhibits,4.4,5.3,7.3,10.9,3.6
Increase number of sustainability projects for,Increase number of sustainability projects for,,,,,
,,4,6,8,16,8
"recycling (water, materials, etc)","recycling (water, materials, etc)",,,,,
Increase number of additional sustainability,Increase number of additional sustainability,,,,,
,,8,10,18,20,2
projects for animals (nationally and locally),projects for animals (nationally and locally),,,,,
Increase number of interns,Increase number of interns,8,10,11,13,2
EXPENDITURE S UMMARY,EXPENDITURE S UMMARY,,,,,
,,FY 2010,,FY 2011,FY 2012,FY 2013
,,Actual,,Actual,Approved,Approved
Personnel Services,Personnel Services,"$2,444,393","$2,582,700",,"$2,748,233","$2,675,124"
"Materials, Supplies and Repairs","Materials, Supplies and Repairs","$630,721",,"$737,844","$728,648","$726,943"
Contractual Services,Contractual Services,"$367,279",,"$370,467","$438,689","$431,782"
Equipment,,"$11,130",,"$35,950","$23,530","$325,351"
Total,,"$3,453,523","$3,726,962",,"$3,939,100","$4,159,200"
256,Zoological Park,,,,,
