Building Permits
2004 Building Permits
Monthly New Privately-Owned Residential Building Permits
Norfolk, Virginia (Norfolk City County -  051000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",382,382,62016799,382,382,62016799
"Two Family",70,140,14016000,70,140,14016000
"Three and Four Family",10,33,2910200,10,33,2910200
"Five or More Family",7,214,54069000,7,214,54069000
"Total",469,769,133011999,469,769,133011999
Source: U.S. Census Bureau
