Building Permits
1996 Building Permits
Monthly New Privately-Owned Residential Building Permits
Norfolk, Virginia (Norfolk City County -  051000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",189,189,16009780,189,189,16009780
"Two Family",0,0,0,0,0,0
"Three and Four Family",0,0,0,0,0,0
"Five or More Family",2,24,545000,2,24,545000
"Total",191,213,16554780,191,213,16554780
Source: U.S. Census Bureau
