Building Permits
2003 Building Permits
Monthly New Privately-Owned Residential Building Permits
Norfolk, Virginia (Norfolk City County -  051000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",437,437,58874826,437,437,58874826
"Two Family",6,12,1070953,6,12,1070953
"Three and Four Family",0,0,0,0,0,0
"Five or More Family",12,322,21822044,12,322,21822044
"Total",455,771,81767823,455,771,81767823
Source: U.S. Census Bureau
