Building Permits
2002 Building Permits
Monthly New Privately-Owned Residential Building Permits
Norfolk, Virginia (Norfolk City County -  051000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",276,276,37635865,276,276,37635865
"Two Family",11,22,2368000,11,22,2368000
"Three and Four Family",0,0,0,0,0,0
"Five or More Family",9,319,18632685,9,319,18632685
"Total",296,617,58636550,296,617,58636550
Source: U.S. Census Bureau
