Building Permits
2008 Building Permits
Monthly New Privately-Owned Residential Building Permits
Norfolk, Virginia (Norfolk City County -  051000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",257,257,38795802,257,257,38795802
"Two Family",2,4,366000,2,4,366000
"Three and Four Family",0,0,0,0,0,0
"Five or More Family",17,560,56608674,17,560,56608674
"Total",276,821,95770476,276,821,95770476
Source: U.S. Census Bureau
