Building Permits
2001 Building Permits
Monthly New Privately-Owned Residential Building Permits
Norfolk, Virginia (Norfolk City County -  051000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",227,227,31863383,227,227,31863383
"Two Family",6,12,1466000,6,12,1466000
"Three and Four Family",0,0,0,0,0,0
"Five or More Family",3,169,9180700,3,169,9180700
"Total",236,408,42510083,236,408,42510083
Source: U.S. Census Bureau
