Building Permits
2007 Building Permits
Monthly New Privately-Owned Residential Building Permits
Norfolk, Virginia (Norfolk City County -  051000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",313,313,51116248,313,313,51116248
"Two Family",10,20,2415000,10,20,2415000
"Three and Four Family",0,0,0,0,0,0
"Five or More Family",3,16,2076995,3,16,2076995
"Total",326,349,55608243,326,349,55608243
Source: U.S. Census Bureau
