Building Permits
2011 Building Permits
Monthly New Privately-Owned Residential Building Permits
Norfolk, Virginia (Norfolk City County -  051000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",225,225,27729722,225,225,27729722
"Two Family",1,2,150000,1,2,150000
"Three and Four Family",0,0,0,0,0,0
"Five or More Family",11,292,18468231,11,292,18468231
"Total",237,519,46347953,237,519,46347953
Source: U.S. Census Bureau
