Building Permits
1997 Building Permits
Monthly New Privately-Owned Residential Building Permits
Norfolk, Virginia (Norfolk City County -  051000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",184,184,14751048,184,184,14751048
"Two Family",0,0,0,0,0,0
"Three and Four Family",0,0,0,0,0,0
"Five or More Family",0,0,0,0,0,0
"Total",184,184,14751048,,,
Source: U.S. Census Bureau
