Building Permits
1998 Building Permits
Monthly New Privately-Owned Residential Building Permits
Norfolk, Virginia (Norfolk City County -  051000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",152,152,13835162,152,152,13835162
"Two Family",5,10,1060000,5,10,1060000
"Three and Four Family",0,0,0,0,0,0
"Five or More Family",3,148,9952638,3,148,9952638
"Total",160,310,24847800,,,
Source: U.S. Census Bureau
