Building Permits
2005 Building Permits
Monthly New Privately-Owned Residential Building Permits
Norfolk, Virginia (Norfolk City County -  051000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",526,526,91659309,526,526,91659309
"Two Family",13,26,2270803,13,26,2270803
"Three and Four Family",5,18,1689388,5,18,1689388
"Five or More Family",21,613,58434862,21,613,58434862
"Total",565,1183,154054362,565,1183,154054362
Source: U.S. Census Bureau
