Building Permits
2012 Building Permits
Monthly New Privately-Owned Residential Building Permits
Norfolk, Virginia (Norfolk City County -  051000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",311,311,35696415,311,311,35696415
"Two Family",1,2,250000,1,2,250000
"Three and Four Family",0,0,0,0,0,0
"Five or More Family",5,183,13490000,5,183,13490000
"Total",317,496,49436415,317,496,49436415
Source: U.S. Census Bureau
