Building Permits
2000 Building Permits
Monthly New Privately-Owned Residential Building Permits
Norfolk, Virginia (Norfolk City County -  051000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",177,177,19672447,177,177,19672447
"Two Family",6,12,1325000,6,12,1325000
"Three and Four Family",1,3,140000,1,3,140000
"Five or More Family",5,95,5219000,5,95,5219000
"Total",189,287,26356447,189,287,26356447
Source: U.S. Census Bureau
