Building Permits
2006 Building Permits
Monthly New Privately-Owned Residential Building Permits
Norfolk, Virginia (Norfolk City County -  051000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",351,351,63468285,351,351,63468285
"Two Family",32,64,9653000,32,64,9653000
"Three and Four Family",3,12,3500000,3,12,3500000
"Five or More Family",11,118,21105600,11,118,21105600
"Total",397,545,97726885,397,545,97726885
Source: U.S. Census Bureau
