Building Permits
2010 Building Permits
Monthly New Privately-Owned Residential Building Permits
Norfolk, Virginia (Norfolk City County -  051000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",171,171,23364500,171,171,23364500
"Two Family",6,12,569000,6,12,569000
"Three and Four Family",0,0,0,0,0,0
"Five or More Family",3,121,22386000,3,121,22386000
"Total",180,304,46319500,180,304,46319500
Source: U.S. Census Bureau
