Building Permits
2009 Building Permits
Monthly New Privately-Owned Residential Building Permits
Norfolk, Virginia (Norfolk City County -  051000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",165,165,21390306,165,165,21390306
"Two Family",2,4,335000,2,4,335000
"Three and Four Family",1,3,369050,1,3,369050
"Five or More Family",17,415,37604833,17,415,37604833
"Total",185,587,59699189,185,587,59699189
Source: U.S. Census Bureau
