Building Permits
1999 Building Permits
Monthly New Privately-Owned Residential Building Permits
Norfolk, Virginia (Norfolk City County -  051000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",191,191,21100060,191,191,21100060
"Two Family",0,0,0,0,0,0
"Three and Four Family",0,0,0,0,0,0
"Five or More Family",1,42,4200000,1,42,4200000
"Total",192,233,25300060,192,233,25300060
Source: U.S. Census Bureau
