Name: “Table 1 of 1 on page 6 of 22”,Name: “Table 1 of 1 on page 6 of 22”,Name: “Table 1 of 1 on page 6 of 22”,Name: “Table 1 of 1 on page 6 of 22”,Name: “Table 1 of 1 on page 6 of 22”,Name: “Table 1 of 1 on page 6 of 22”,Name: “Table 1 of 1 on page 6 of 22”,Name: “Table 1 of 1 on page 6 of 22”,Name: “Table 1 of 1 on page 6 of 22”,Name: “Table 1 of 1 on page 6 of 22”,Name: “Table 1 of 1 on page 6 of 22”,Name: “Table 1 of 1 on page 6 of 22”,Name: “Table 1 of 1 on page 6 of 22”,Name: “Table 1 of 1 on page 6 of 22”,Name: “Table 1 of 1 on page 6 of 22”,Name: “Table 1 of 1 on page 6 of 22”,Name: “Table 1 of 1 on page 6 of 22”
Intermodal Park,,,,"2,637,665",,"2,395,061",,"2,083,398",,"2,143,816",,"2,205,987",,"11,465,927",,"25,035,325"
NDSD Park Development,,,,"250,000",,"250,000",,"250,000",,"250,000",,"250,000",,"1,250,000",,"1,250,000"
Workforce Center,,,,"480,290",,"875,996",,"901,400",,"5,177,615",,-,,"7,435,301",,"7,435,301"
TOTAL:,,,"$ 4,617,955","$ 4,617,955","$ 4,771,057","$ 4,771,057","$ 4,484,798","$ 4,484,798","$ 8,821,431","$ 8,821,431","$ 3,705,987","$ 3,705,987","$ 26,401,228","$ 26,401,228","$ 44,970,626",
Revenue Sources:,,,,,,,,,,,,,,,,
Operating Revenues,,,,"1,750,000",,"1,500,000",,"1,500,000",,"1,500,000",,"1,500,000",,"7,750,000",,"12,750,000"
Fund Balance/Reserves,,,,-,,-,,-,,-,,,,-,,-
Bonded / Note Indebtedness,,,,"2,867,955",,"3,271,057",,"2,984,798",,"7,321,431",,"2,205,987",,"18,651,228",,"32,220,626"
Grants / Donations / Other,,,,-,,-,,-,,-,,-,,-,,-
TOTAL:,,,"$ 4,617,955","$ 4,617,955","$ 4,771,057","$ 4,771,057","$ 4,484,798","$ 4,484,798","$ 8,821,431","$ 8,821,431","$ 3,705,987","$ 3,705,987","$ 26,401,228","$ 26,401,228","$ 44,970,626",
Reserve for Economic Development (E.D.) Projects,Reserve for Economic Development (E.D.) Projects,Reserve for Economic Development (E.D.) Projects,Reserve for Economic Development (E.D.) Projects,,,,,,,,,,,,,
Accumulation of funds for potential economic development incentive projects.,Accumulation of funds for potential economic development incentive projects.,Accumulation of funds for potential economic development incentive projects.,Accumulation of funds for potential economic development incentive projects.,Accumulation of funds for potential economic development incentive projects.,Accumulation of funds for potential economic development incentive projects.,Accumulation of funds for potential economic development incentive projects.,,,,,,,,,,
Intermodal Park,,,,,,,,,,,,,,,,
Previously referred to as Rt. 460 Distribution Park,Previously referred to as Rt. 460 Distribution Park,Previously referred to as Rt. 460 Distribution Park,,,,,,,,,,,,,,
NDSD Park Development,,,,,,,,,,,,,,,,
Accumulation of funds for an office park in the northern development district.,Accumulation of funds for an office park in the northern development district.,Accumulation of funds for an office park in the northern development district.,Accumulation of funds for an office park in the northern development district.,Accumulation of funds for an office park in the northern development district.,Accumulation of funds for an office park in the northern development district.,Accumulation of funds for an office park in the northern development district.,,,,,,,,,,
Workforce Center,,,,,,,,,,,,,,,,
"Funding provides for a multi-use facility with class rooms, logistic distribution center and light manufacturing functionality.","Funding provides for a multi-use facility with class rooms, logistic distribution center and light manufacturing functionality.","Funding provides for a multi-use facility with class rooms, logistic distribution center and light manufacturing functionality.","Funding provides for a multi-use facility with class rooms, logistic distribution center and light manufacturing functionality.","Funding provides for a multi-use facility with class rooms, logistic distribution center and light manufacturing functionality.","Funding provides for a multi-use facility with class rooms, logistic distribution center and light manufacturing functionality.","Funding provides for a multi-use facility with class rooms, logistic distribution center and light manufacturing functionality.","Funding provides for a multi-use facility with class rooms, logistic distribution center and light manufacturing functionality.","Funding provides for a multi-use facility with class rooms, logistic distribution center and light manufacturing functionality.","Funding provides for a multi-use facility with class rooms, logistic distribution center and light manufacturing functionality.","Funding provides for a multi-use facility with class rooms, logistic distribution center and light manufacturing functionality.","Funding provides for a multi-use facility with class rooms, logistic distribution center and light manufacturing functionality.","Funding provides for a multi-use facility with class rooms, logistic distribution center and light manufacturing functionality.",,,,
,,,,,,,,,,,,,,,,4
4/3/2009,,,,,,,,,,,,,,,,
