Name: “Table 1 of 1 on page 12 of 22”,Name: “Table 1 of 1 on page 12 of 22”
Table: 12,Table: 12
,
,ISLE OF WIGHT COUNTY
,FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP)
,Adopted by Board of Supervisors
,Public Schools
Comments / Notes:,
Administration Building - New,
"Per the County's master plan for space needs, a school administration building will be constructed and located at the County Courthouse Complex",
"This project has been deferred to FY 2020 - $5,275,000",
New Elementary School - Northern,
"Per the demographic study conducted in 2007, a new elementary school will be needed in the northern area of the county due to projected populatio",
"however, the subcommittee recommended deferring this project to FY 2020 - $20,375,000",
School Building Dates:,
Carrollton Elementary,1993
Carrsville Elementary,"1996 one wing dates to 1970s, gym dates to 1930s"
Hardy Elementary,1960 with a 1982 addition
Windsor Elementary,1998
Westside Elementary,1954 numberous additions and modifications
Windsor Middle School,1954
Smithfield Middle School,2005
Windsor High School,1994
Smithfield High School,1980 auditorium addition in 1995
,10
4/3/2009,
